baseline	ISS_G
11	9
74	43
4	1
3	41
25	0
15	8
30	19
100	125
115	172
8	1
39	7
9	36
2	3
33	23
6	15
13	14
197	117
9	51
1	1
0	4
569	528
118	56
382	204
216	134
3	4
22	21
78	68
35893	36402
274	218
61	53
217	660
8	12
164	182
11	28
6	17
26	69
46	30
135	220
23	18
4	2
187	0
12	30
90	59
179	167
11	12
5	0
56	15
8	2
11	8
524	751
22	25
1	4
3	0
15	10
136	74
3	2
29	25
3	10
2	3
7	0
1	2
114	21
2	4
24	43
1341	887
131	99
335	132
195	92
112	36
6	7
37	0
3	4
385	330
23	20
4	7
3	12
68	86
15	45
8	12
2	3
4	4
42	26
9	2
6	10
28	69
72	68
1	5
39	30
0	7
11	8
5	10
7	1
4	3
15	17
2	0
4	14
7	0
3	14
1	30
61	49
36	50
85	45
229	715
15	14
22	256
24	22
114	59
78	41
93	142
2	5
20	17
22	25
8	0
12	0
163	141
8	3
96	60
1	0
127	73
97	241
9	38
33	47
94	42
22	51
4	6
8	0
12	16
821	768
12	14
2	4
2	4
165	127
17	19
90	143
13	11
128	138
31	14
88	89
99	26
157	346
4035	3845
34	34
20	2
266	64
4	0
4	5
1	25
63	18
5	5
23	15
107	86
25	12
282	149
24	20
3	1
22	104
16	24
4	6
13	12
18	67
24	16
15	7
1389	1089
10	30
570	1377
67	33
112	356
26	42
1069	538
2	2
0	2
10	8
2	2
5	5
1072	891
81	183
54	25
15	10
36	45
13	0
4	4
4	3
5	2
