X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X214.0446.final	X214.3644.final	X214.532E.final	X214.5D46.final	X214.665B.final	X214.6951.final	X214.7250.final	X214.7715.final	X214.7A4F.final	X214.7B6C.final
seq97	4	12	14	11	60	16	8	4	30	37	31	32	27	33	38	57	21	24	23	21	6	29	15	7	25	2	10	3	9	12
seq20	160	48	13	83	480	17	52	123	45	127	116	31	93	70	208	45	68	85	51	26	18	10	294	152	1133	26	155	2	260	359
seq74	26	16	4	24	135	7	10	24	8	27	25	5	17	8	48	8	12	19	5	5	4	5	64	38	222	3	36	5	48	84
seq34	0	0	0	0	0	0	0	0	0	0	803	0	411	1	711	1273	131	0	537	42	0	0	0	0	0	0	0	0	0	915
seq130	5	3	21	0	5	9	4	19	6	4	0	0	0	0	0	0	0	0	0	0	27	50	21	7	1	4	0	0	9	21
seq87	34	31	49	73	47	70	42	9	152	60	81	63	69	49	112	111	51	55	233	98	76	41	108	15	33	26	64	18	7	38
seq58	59	63	85	133	148	94	42	29	149	70	45	78	86	48	103	182	112	78	224	95	58	95	81	49	72	22	97	12	35	74
seq116	14	15	18	42	43	38	24	7	44	16	19	19	25	17	38	60	37	19	76	33	21	26	31	10	29	8	22	11	11	20
seq126	17	15	11	22	61	16	9	2	48	25	10	11	19	17	14	13	20	11	45	83	22	55	16	16	6	2	15	13	3	5
seq9	0	0	310	1	0	460	207	1	565	0	519	216	2	332	408	0	482	3	614	227	308	1931	945	245	444	182	1438	252	121	731
seq8	1	0	355	2	1	509	223	0	617	0	470	223	0	317	420	0	465	1	708	263	368	2055	1057	215	478	164	1621	259	117	812
seq16	1	0	170	0	0	235	88	0	293	1	279	122	1	137	188	0	207	0	367	143	178	1041	524	119	234	98	748	158	67	397
seq53	73	37	67	50	94	114	85	21	238	96	189	103	108	79	206	188	54	125	420	196	124	67	171	40	65	39	83	59	14	64
seq70	79	32	19	105	209	100	46	45	243	112	53	68	41	30	264	23	35	115	79	174	25	77	55	39	61	64	24	45	12	18
seq72	66	0	43	5	0	33	446	12	2	0	2	125	1	0	78	184	253	1	312	0	25	75	67	39	38	27	33	35	8	60
seq11	41	176	31	384	339	40	38	26	1390	139	54	305	94	20	35	0	49	280	550	1642	77	130	41	481	40	62	311	133	70	142
seq119	5	0	0	1	5	0	1	0	6	9	6	2	0	1	3	18	2	2	1	6	0	7	1	0	7	2	3	2	2	11
seq6	271	502	111	983	364	1384	332	460	3516	3822	3499	212	2352	156	2149	1567	215	1674	2710	1502	1219	1697	4135	556	596	885	125	301	186	1194
seq281	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	1	1	23	14	0	0	0	0	0	0	0	0	0	0
seq78	15	37	0	10	53	14	20	29	28	72	5	34	41	0	2	9	0	52	22	27	56	0	0	15	12	2	55	16	3	0
seq102	6	23	0	10	42	6	8	19	16	65	3	22	19	1	2	2	0	25	19	16	31	0	0	18	10	0	29	13	2	0
seq7	771	776	398	80	1297	661	405	188	1878	999	4755	795	476	164	1692	651	132	846	2247	2232	614	1276	1799	477	991	1064	933	518	332	902
seq13	237	308	169	45	459	223	120	77	717	341	1697	283	168	61	571	231	65	330	781	820	214	471	668	184	362	384	339	202	142	333
seq84	40	38	37	6	163	83	14	16	115	87	73	106	44	10	230	12	11	45	349	89	42	121	189	42	124	16	78	33	9	27
seq199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	3	5	10	6	2	1	1	6
seq80	46	33	107	25	114	116	105	13	239	67	176	34	110	25	100	72	39	29	221	122	62	62	66	18	24	215	50	47	12	30
seq133	11	3	2	1	0	2	1	1	0	5	3	8	1	2	6	4	1	4	13	3	16	0	11	8	1	0	8	2	2	5
seq107	14	0	8	0	3	0	7	0	9	4	0	24	0	0	7	27	14	0	91	15	41	11	16	11	1	3	148	25	15	5
seq42	41	40	41	10	56	74	53	12	56	61	0	0	0	0	0	0	0	0	0	0	100	127	191	29	96	80	272	92	8	41
seq92	19	21	18	3	31	29	16	7	22	23	0	0	0	0	0	0	0	0	0	0	41	40	70	15	28	21	101	32	4	12
seq123	19	0	15	11	0	65	49	15	0	0	0	0	0	0	0	0	0	0	0	0	79	32	74	17	36	39	46	18	15	26
seq62	17	2	9	3	1	13	1	0	12	22	50	47	6	7	32	33	5	22	12	8	24	3	16	0	12	21	36	0	17	11
seq67	14	4	2	0	4	16	3	1	9	17	40	44	9	6	21	26	4	25	11	10	18	4	11	0	11	24	16	0	6	16
seq30	68	46	208	147	228	179	87	76	112	84	111	81	64	88	352	153	119	184	107	72	40	140	135	411	348	91	41	39	57	80
seq137	5	5	8	4	13	7	7	3	6	8	5	8	7	2	26	17	20	4	41	17	8	22	7	4	20	7	4	2	8	8
seq214	0	1	0	0	3	4	0	0	1	2	0	0	2	0	11	2	9	1	3	6	4	4	3	2	4	1	0	0	1	1
seq14	8	20	460	14	102	58	26	6	59	25	3949	14	1780	200	7793	8	162	6210	20	473	550	515	948	521	1576	475	24	188	346	236
seq15	617	83	118	218	1462	216	82	72	1237	1019	515	513	459	73	1012	146	75	1038	868	1565	437	1329	1143	221	507	757	161	307	166	255
seq22	199	337	154	255	284	817	424	321	894	450	25	324	24	51	134	8	274	218	1494	958	160	372	399	82	195	274	139	255	16	151
seq33	0	84	173	46	263	167	34	53	170	291	372	75	535	85	246	907	35	182	204	400	40	473	121	125	100	180	19	136	25	118
seq138	9	4	2	2	114	2	3	1	3	15	15	31	9	10	20	9	0	25	5	16	5	8	3	1	7	21	28	2	7	0
seq56	58	29	40	24	276	274	81	19	163	88	171	83	25	38	359	21	25	112	234	157	27	79	105	40	160	47	51	28	27	29
seq86	33	11	30	18	146	150	43	19	100	62	95	50	11	14	239	16	12	68	129	96	19	41	55	13	91	34	26	23	9	23
seq283	1	0	11	0	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
seq106	40	12	57	8	102	54	30	35	22	19	71	26	18	26	50	24	15	28	16	12	28	133	33	67	80	27	11	41	23	28
seq178	11	3	8	16	32	10	7	5	8	13	13	3	6	2	7	7	1	12	4	25	4	14	14	7	18	8	3	6	5	6
seq108	37	14	55	22	95	76	17	6	47	50	22	24	9	30	35	37	27	17	106	105	27	46	9	36	10	14	35	27	48	12
seq151	19	15	0	8	61	1	0	1	25	1	417	0	89	6	6	0	14	80	0	5	0	0	0	0	0	0	0	0	0	0
seq206	1	1	4	32	10	0	2	0	1	19	28	0	0	4	10	0	0	15	0	4	1	0	0	2	5	0	0	0	2	0
seq194	2	1	1	11	9	4	0	1	0	1	9	18	12	3	6	0	7	12	6	1	1	0	2	3	4	2	1	1	3	0
seq35	62	64	160	100	78	91	58	48	73	83	91	138	128	108	74	168	114	64	104	46	135	160	71	326	135	86	118	88	157	146
seq89	16	3	147	30	279	75	29	53	96	45	80	28	116	6	171	19	36	31	0	4	10	15	11	21	16	80	4	7	6	13
seq37	20	32	365	179	509	145	12	25	391	99	170	71	100	96	158	57	99	149	74	526	123	314	128	331	263	219	52	199	73	114
seq245	5	1	10	2	1	37	4	8	25	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq158	8	0	1	174	19	27	3	17	0	1	54	1	46	21	33	0	35	42	13	1	0	0	0	0	3	0	0	0	0	0
seq61	3	4	5	0	35	0	75	0	0	81	103	69	0	29	96	16	0	2	0	0	69	101	1	0	91	135	60	59	103	70
seq155	1	1	24	0	6	1	3	2	6	3	19	15	7	3	2	6	4	4	0	1	11	9	34	1	10	2	9	0	3	17
seq205	1	0	8	0	2	1	1	0	4	0	7	1	3	0	0	3	0	2	1	0	3	1	12	0	4	1	5	0	1	8
seq154	0	0	0	0	2	0	0	0	24	1	0	0	0	0	0	0	10	0	0	0	9	0	13	0	0	0	0	4	1	0
seq66	54	31	61	7	144	50	56	10	211	112	65	106	61	32	77	44	1	93	70	411	17	74	112	9	43	24	39	58	6	67
seq159	42	0	0	46	8	5	40	2	52	6	193	0	0	0	4	0	0	0	0	0	3	0	3	0	0	10	0	1	0	1
seq201	13	0	0	7	11	2	11	0	19	1	66	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
seq21	4	0	190	4	512	300	20	149	0	0	8	224	16	404	349	193	0	118	528	115	251	803	18	292	322	924	315	310	98	128
seq36	0	129	0	55	68	0	0	0	0	211	37	308	92	12	449	116	0	219	1538	25	14	218	500	0	146	16	335	1	30	148
seq49	16	33	39	14	82	15	8	6	111	120	309	52	28	13	134	12	9	118	120	131	47	86	216	58	124	103	99	37	19	74
seq215	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	3	0	15	1	3	9	21	0	5	0	8	4	1	1
seq32	713	1	272	2	0	1003	280	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	29	177	0	0
seq91	1	1	0	28	0	0	0	0	11	41	0	70	0	0	0	6	4	0	368	183	41	59	9	39	3	54	110	37	56	43
seq96	6	2	1	3	0	2	3	1	3	14	7	15	1	0	7	13	0	3	7	27	35	7	34	1	5	3	70	1	4	10
seq109	3	6	0	5	4	3	1	5	9	22	0	0	0	0	0	0	0	0	0	0	54	76	28	4	28	0	158	10	8	47
seq177	0	1	0	0	0	0	0	1	5	1	0	1	0	0	0	0	0	0	7	2	26	80	0	0	39	13	49	17	17	7
seq118	23	16	27	23	39	24	20	14	19	24	29	49	13	28	5	57	14	20	32	8	7	16	21	41	24	10	27	10	19	24
seq29	60	105	92	177	124	121	57	110	316	227	169	53	146	50	107	94	19	132	61	473	55	605	157	248	143	190	45	437	100	223
seq77	30	11	24	15	36	25	15	8	14	35	21	13	20	18	23	32	8	8	39	35	38	31	10	45	24	18	13	6	15	11
seq142	20	10	17	4	1	6	5	8	5	4	24	5	0	11	3	0	4	3	14	46	28	47	56	7	14	2	43	29	2	77
seq173	0	0	0	0	0	0	0	0	0	0	2	2	2	0	5	2	5	0	0	2	22	73	42	28	19	6	36	10	7	57
seq46	35	42	14	41	35	17	33	23	28	54	28	43	30	19	23	118	10	39	34	56	2	21	35	9	64	66	110	50	63	78
seq110	2	11	3	3	5	4	7	7	59	22	15	6	18	1	18	9	1	5	21	14	76	62	27	7	10	6	38	14	14	46
