baseline	ISS_G
2	42
2	3
1	4
4012	3829
16	17
5	7
48	81
10	30
381	381
5	6
35886	36396
39	32
187	201
14	13
728	1111
185	92
136	223
74	200
74	64
30	86
3079	2874
107	93
5	14
4	4
15	13
8	13
4	3
57	15
4	0
55	29
190	142
14	15
14	15
39	295
576	1364
3353	2500
1815	1486
96	86
435	210
46	62
22	23
79	68
30	15
2	5
14	12
129	128
58	48
420	493
35	30
140	304
27	45
4	3
59	72
24	45
25	20
4	1
23	24
6	27
1390	888
7	1
35	43
92	39
3	4
109	37
196	116
9	12
31	32
340	134
221	665
111	140
257	115
5	3
9	5
127	78
9	10
198	262
