X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X214.0446.final	X214.3644.final	X214.532E.final	X214.5D46.final	X214.665B.final	X214.6951.final	X214.7250.final	X214.7715.final	X214.7A4F.final	X214.7B6C.final
seq20	190	76	31	111	650	36	70	150	79	191	172	59	139	90	292	99	114	122	73	47	31	44	365	194	1383	30	202	10	338	442
seq58	67	85	109	192	205	133	72	37	185	89	70	90	120	63	140	229	133	101	286	136	80	116	113	52	97	33	129	20	46	92
seq9	0	0	303	1	5	470	212	2	564	2	517	209	5	345	417	8	501	3	624	223	310	1939	937	262	453	178	1444	254	128	749
seq8	1187	665	1911	857	2848	2571	1215	593	4041	2170	6146	1601	3213	1205	10726	1730	1576	8158	4745	4423	2159	6306	4741	1983	3711	2158	3041	1482	920	2237
seq70	65	31	37	108	195	101	34	43	236	112	53	66	45	22	264	20	34	107	85	175	21	72	54	28	65	59	15	51	13	16
seq78	36	60	11	30	88	87	77	64	41	130	8	53	60	2	5	11	0	86	37	38	166	29	71	46	58	43	117	47	17	28
seq7	1098	1159	1246	552	2656	1277	668	374	3375	1572	6951	1274	986	397	2745	1024	414	1447	3296	3796	1031	2122	2676	1051	1650	1999	1384	975	587	1382
seq84	34	34	34	6	198	87	15	17	109	87	87	104	42	8	230	10	9	46	337	95	42	123	188	35	112	16	98	38	10	23
seq42	123	73	80	15	102	119	85	22	108	125	91	120	17	14	68	81	22	48	124	44	236	189	321	76	167	148	567	139	54	103
seq56	81	40	70	44	426	429	127	39	272	166	276	127	32	45	597	39	30	165	410	283	48	122	165	58	248	80	66	48	35	45
seq178	16	1	9	18	32	11	4	4	7	11	8	6	7	2	5	8	3	10	4	23	5	14	14	10	25	9	3	5	6	5
seq35	71	94	188	184	183	87	104	51	111	228	654	306	224	150	175	175	142	150	457	221	247	318	81	373	246	283	289	183	325	272
seq155	2	1	32	0	5	2	3	2	10	4	30	16	8	7	2	8	4	10	1	4	13	10	47	1	12	2	17	0	4	28
seq21	814	67	565	29	712	1358	358	164	295	233	384	381	103	450	548	261	13	324	723	608	325	941	342	350	457	1065	469	584	134	263
seq36	49	135	0	107	84	6	45	2	101	216	305	293	94	13	430	110	11	202	1553	36	23	220	519	0	135	25	332	4	28	136
seq109	1	3	0	6	2	3	2	4	7	20	0	0	0	0	0	0	0	0	0	0	50	78	30	4	30	1	167	13	5	45
seq76	99	84	96	78	66	114	90	56	90	132	28	44	13	28	7	61	11	17	43	17	68	101	29	39	61	150	98	88	34	50
seq29	70	102	88	175	147	124	58	114	293	232	179	54	152	43	110	91	23	140	62	466	67	627	164	248	139	176	49	425	103	234
seq77	32	9	27	12	29	23	17	5	15	41	19	27	17	17	24	40	7	8	38	38	37	30	11	50	29	23	13	7	15	19
seq142	15	8	17	6	6	3	5	9	8	4	23	3	0	8	4	1	3	4	21	52	27	50	55	8	13	4	37	30	1	75
seq46	39	62	20	44	37	23	39	20	80	69	42	46	48	23	40	139	11	47	58	77	85	82	63	18	78	88	144	53	82	120
seq17	24	39	55	17	65	57	33	25	43	215	908	34	108	9	85	52	12	169	134	503	37	161	461	79	21	47	25	35	59	353
seq216	0	1	2	1	0	1	0	0	0	1	4	4	2	0	0	1	0	0	1	4	4	4	4	9	4	4	3	4	2	2
seq147	6	9	3	55	47	43	31	10	10	28	73	1	46	14	94	8	13	101	1	7	0	3	0	11	119	14	1	0	3	2
seq45	114	73	194	316	324	80	53	80	180	242	653	172	233	91	416	161	43	465	592	649	93	170	163	117	143	46	135	62	71	153
seq24	572	161	214	127	180	713	480	887	309	364	630	285	61	106	59	163	75	140	222	1051	3	482	27	8	144	28	52	184	48	361
seq176	9	0	0	1	0	3	2	0	2	1	2	1	1	3	2	8	3	2	0	0	0	8	2	15	12	4	2	1	7	1
seq3	2157	5648	5149	2	9428	10987	6085	1524	3416	7066	2833	2727	2	3935	1424	975	946	1291	3669	10984	310	3	1150	2	8438	11124	1865	10311	5081	5
seq39	155	67	94	174	700	150	74	82	276	231	295	83	148	102	235	122	47	215	143	527	53	217	119	114	194	168	57	98	75	67
seq52	125	195	101	217	144	217	70	255	381	338	456	126	92	137	77	162	53	314	90	195	218	264	285	169	319	46	305	93	167	148
seq179	5	7	9	5	8	5	3	3	3	64	14	1	6	7	5	2	8	15	3	6	1	2	5	7	14	6	3	2	4	7
seq100	21	7	41	40	75	83	23	11	32	30	55	13	41	21	9	3	4	84	5	176	45	13	40	38	122	13	9	15	26	4
seq54	38	5	66	20	20	8	14	5	25	27	8	79	24	7	32	50	20	8	103	40	101	155	101	75	60	33	144	49	95	47
seq60	84	92	52	8	57	33	55	60	6	91	32	38	6	6	12	20	6	6	33	76	170	286	363	72	281	206	767	145	276	381
seq144	39	7	47	35	35	76	27	24	23	32	77	24	28	16	63	12	28	25	38	52	21	72	31	23	23	42	11	34	13	34
seq23	37	265	804	684	134	462	367	430	531	1006	289	49	262	832	78	87	173	501	118	516	85	1529	93	37	719	449	104	308	372	110
seq93	0	5	0	0	9	0	1	5	1	33	35	8	0	11	0	0	6	1	15	0	3	167	23	7	22	36	0	0	14	0
seq90	35	8	28	21	50	144	52	52	34	125	19	94	50	40	111	29	19	60	95	42	15	48	22	20	90	21	20	15	15	20
seq2	11	18	7	9	13	5	12	13	16	15	16	14	22	19	19	16	13	14	12	11	16	11	11	8	18	14	15	8	12	19
seq4	620	502	102	461	356	709	197	469	324	1273	1415	761	596	262	170	398	123	737	1	2041	1244	1046	3618	695	1126	1557	1911	945	484	1009
seq145	6	5	16	0	84	24	12	3	49	27	62	11	10	16	37	8	6	25	11	79	2	22	8	32	65	33	6	9	10	11
seq26	2	9	83	15	467	9	2	25	459	7	18	50	29	15	70	80	67	8	37	18	52	108	15	310	109	7	12	10	11	9
seq171	3	11	8	3	5	6	1	2	9	3	4	2	2	13	7	3	3	1	1	2	1	3	6	5	3	4	7	6	4	1
seq10	1515	407	1350	1951	2574	1829	837	927	1280	368	2625	389	1657	1094	1716	1221	788	2711	550	2001	103	390	293	2208	1340	2192	46	1781	95	428
seq68	52	30	89	159	330	91	31	31	285	69	103	84	42	63	99	27	34	133	37	345	35	74	85	237	190	117	9	91	42	52
seq148	8	7	19	28	73	9	9	15	9	12	18	7	16	12	13	7	5	12	3	8	11	21	7	20	45	19	2	8	14	5
seq188	4	3	1	2	1	3	4	1	2	2	6	0	3	5	2	4	1	1	3	3	2	3	7	2	7	5	6	5	3	5
seq143	15	5	54	39	44	94	1	6	45	15	11	7	8	10	14	1	10	10	30	33	33	48	39	43	25	13	14	11	8	7
seq120	26	32	94	119	201	32	66	35	151	45	67	8	14	13	22	107	13	30	1	56	1	11	14	29	39	21	5	18	12	4
seq157	28	0	0	0	0	0	0	0	0	30	0	40	0	0	0	0	0	70	6	1	0	0	0	124	0	0	0	0	0	0
