baseline	ISS_G
219	658
4	3
194	117
4	5
66	16
22	26
6	6
26	44
4	2
572	1373
2	4
13	14
48	9
4	4
8	11
85	47
0	4
10	9
157	343
135	219
4	0
1	0
114	20
128	100
16	9
720	1112
35	31
5	6
169	146
8	13
5	6
5	1
67	83
128	81
26	0
4	1
47	63
1	1
280	225
90	60
11	8
184	0
353	1075
1	4
118	59
72	66
164	143
226	133
5	3
4	6
24	0
99	26
25	12
6	10
57	97
70	197
3	4
56	27
1	25
35882	36412
119	294
3	4
2	3
46	28
12	12
18	18
47	79
19	17
2	4
3	42
1461	1206
106	92
57	15
999	938
124	138
6	16
568	526
135	74
184	91
81	68
3	9
509	334
4	3
1664	1226
9	50
8	1
33	49
1067	526
173	181
89	149
24	46
8	14
113	36
94	86
35	42
1	32
4	14
23	25
15	15
30	15
2	3
6	0
12	14
267	61
93	142
9	3
1338	859
106	115
28	266
4036	3856
110	136
16	18
14	45
16	7
26	2
23	23
340	129
3	2
3	6
10	28
17	68
3	5
32	24
23	23
7	26
382	201
38	32
13	11
2	3
23	19
94	40
215	129
