X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X214.0446.final	X214.3644.final	X214.532E.final	X214.5D46.final	X214.665B.final	X214.6951.final	X214.7250.final	X214.7715.final	X214.7A4F.final	X214.7B6C.final
seq97	4	12	13	12	60	16	8	4	30	35	31	32	27	31	37	57	22	22	25	21	7	30	14	9	27	3	8	3	9	12
seq20	186	64	14	99	618	23	62	146	55	156	150	36	107	78	255	52	93	105	55	32	23	17	351	183	1368	34	194	9	309	447
seq130	5	3	22	0	5	9	4	19	6	3	0	0	0	0	0	0	0	0	0	0	26	49	21	6	3	2	0	0	9	25
seq58	65	83	108	193	186	139	73	35	190	91	67	98	118	66	150	239	133	97	291	135	84	120	114	60	116	30	118	24	44	101
seq9	0	0	318	1	1	456	210	1	564	0	524	214	3	340	406	0	498	3	608	226	307	1926	952	241	431	173	1432	244	124	755
seq8	6	2	551	5	10	738	319	4	923	6	788	359	7	457	645	22	700	10	1085	423	568	3106	1576	355	699	282	2369	402	190	1203
seq53	134	79	114	147	208	197	131	31	419	184	289	182	198	139	325	321	139	180	722	376	231	167	293	81	110	74	158	89	27	96
seq70	77	31	34	104	207	101	44	49	244	116	51	67	35	30	274	14	30	115	85	169	24	76	55	45	52	55	16	52	11	19
seq11	101	287	159	589	472	223	122	214	1778	538	469	711	183	170	374	124	139	491	966	2069	332	459	295	718	200	94	631	216	105	286
seq119	2	0	0	1	5	1	1	0	9	9	3	2	1	2	3	14	0	2	2	5	0	7	1	0	7	2	2	5	4	10
seq6	346	515	156	1008	360	1419	780	464	3510	3819	4257	332	2788	122	2942	3021	557	1721	3590	1569	1267	1776	4214	584	639	958	150	322	191	2158
