X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X215.0302.final	X215.0646.final	X215.0B2B.final	X215.0B59.final	X215.340E.final	X215.406C.final	X215.471D.final	X215.591C.final	X215.6E50.final	X215.7262.final
43920	43214	39619	45175	24052	29230	42469	47721	24331	31183	20241	42900	43173	45137	27433	43474	48763	32983	27284	16114	25320	41967	6814	37036	45977	51227	22033	24531	22459	50350
12	15	9	10	9	5	8	14	16	14	16	13	23	18	17	18	15	13	15	9	28228	10	45186	9	87	8	30550	28802	30827	12
2154	5644	5140	2	9435	11048	5961	1441	3544	7050	2796	2787	2	3907	1440	935	958	1310	3630	11131	0	4463	659	5858	2264	0	191	463	339	1
271	502	112	984	326	1406	326	460	3513	3818	3435	213	2348	152	2164	1558	188	1712	2733	1506	65	65	44	125	4	43	123	8	50	78
1492	410	1139	1937	2411	1837	783	935	1179	327	2504	316	1618	1034	1644	1238	813	2638	526	1975	6	90	21	241	41	57	13	16	22	509
771	776	409	81	1267	664	382	178	1889	1007	4791	802	472	165	1694	645	130	858	2244	2230	33	387	57	232	265	110	183	20	102	161
8	20	477	14	101	66	32	5	60	23	3954	14	1789	197	7800	7	155	6204	21	462	3	51	5	9	31	10	2	5	4	13
658	526	107	474	371	718	195	463	295	1252	1412	773	570	237	178	359	114	750	1	2030	191	460	394	5448	583	363	122	157	174	752
266	356	305	192	450	521	156	99	3069	188	893	1111	237	294	1858	732	399	20	3541	1700	10	816	279	1020	230	238	8	182	24	242
617	83	118	218	1440	219	93	72	1233	1032	528	508	459	74	1006	145	62	988	857	1574	88	269	195	160	90	64	70	36	29	22
507	62	976	781	2404	476	180	68	1704	570	269	61	158	76	275	68	110	323	118	1322	14	174	14	61	28	36	76	23	34	33
199	338	155	256	292	799	464	318	892	455	26	316	26	52	134	8	276	212	1511	957	0	159	100	396	69	22	102	7	17	73
237	308	178	45	470	216	143	72	710	350	1720	283	163	62	568	231	74	334	774	827	16	168	25	61	114	46	69	10	40	68
582	174	216	117	175	719	447	853	299	343	651	287	55	88	58	149	88	145	222	1017	148	147	1	111	103	129	72	37	86	12
41	176	33	386	347	38	45	31	1387	136	55	309	93	20	35	0	54	281	547	1625	104	117	38	143	533	83	138	72	96	49
5	8	68	16	458	7	3	28	461	7	16	50	24	14	80	83	64	10	39	16	126	945	192	332	858	787	170	289	146	1352
1	0	367	2	1	494	188	1	612	0	477	223	0	319	425	0	478	2	711	262	164	98	114	63	453	255	206	95	146	51
0	240	728	683	109	465	37	413	443	710	28	43	232	346	57	0	175	119	109	511	0	134	11	119	59	22	14	4	31	118
0	0	326	1	1	463	208	1	562	0	529	216	2	332	412	0	491	3	613	230	161	114	109	57	406	220	160	101	151	59
125	38	25	95	53	84	9	9	1342	195	1730	114	20	12	43	220	19	425	213	513	3	23	3	7	1	3	1	0	8	1
0	84	174	46	246	168	29	57	168	295	372	76	534	88	249	919	30	175	207	401	3	92	89	469	19	7	54	19	19	174
161	72	94	159	681	146	64	82	284	232	311	89	149	93	225	115	42	218	126	530	22	43	18	125	54	51	25	19	20	62
48	90	56	26	93	123	39	18	684	42	193	265	47	69	394	148	95	11	767	372	1	155	68	235	46	34	4	53	3	57
0	0	0	0	0	0	0	0	0	0	809	0	417	1	708	1286	138	0	547	46	0	0	48	14	0	0	0	0	0	0
5	0	221	4	516	297	23	150	0	1	9	224	16	404	361	198	1	114	532	114	18	108	50	173	131	37	99	10	16	29
0	0	68	2	0	1	295	0	71	210	249	0	2	509	0	21	0	321	0	0	0	939	1	174	97	480	0	251	33	129
0	735	0	189	971	0	0	341	0	495	0	0	0	0	1	0	0	1028	0	0	0	0	0	0	0	0	0	0	0	0
61	105	92	180	143	122	67	115	321	224	176	56	146	50	105	92	23	131	61	471	66	40	55	367	53	60	128	16	47	24
40	92	91	132	84	135	51	132	267	305	303	287	77	96	272	83	50	147	326	317	33	22	14	44	41	16	55	5	25	10
20	32	363	181	483	148	8	23	391	105	162	71	103	95	159	58	100	140	73	533	9	62	14	50	11	16	10	19	12	44
0	129	0	55	70	0	0	0	0	204	45	307	92	12	457	114	0	212	1553	26	0	134	0	0	1	35	0	25	10	0
83	45	38	51	139	33	23	32	94	87	238	148	31	30	220	112	31	236	562	463	10	130	89	175	67	27	24	13	22	10
27	42	58	17	64	57	31	23	41	201	902	37	109	10	78	49	9	163	141	524	11	151	16	124	75	132	51	31	0	68
1	0	158	0	0	236	104	0	292	1	288	124	1	138	188	0	239	0	370	142	85	65	68	38	239	113	95	55	84	28
68	46	217	146	237	163	87	72	110	81	105	83	65	91	351	152	107	175	104	70	26	148	9	40	48	50	21	24	27	64
73	37	63	51	101	114	84	20	241	97	191	102	107	78	206	188	71	118	419	204	1	76	9	24	33	14	13	4	5	5
62	64	171	100	69	94	55	47	74	84	98	135	128	107	68	164	122	64	104	48	54	341	17	99	39	37	44	34	14	131
42	165	36	175	76	192	67	240	283	266	278	22	52	112	11	52	10	199	11	93	11	25	2	34	6	21	7	0	3	126
114	7	239	147	486	129	44	16	344	119	60	28	44	22	70	15	27	63	30	330	3	54	3	20	13	6	19	6	10	10
58	29	43	24	275	263	94	19	167	94	181	80	25	34	360	20	29	107	236	157	6	3	10	15	48	5	10	1	0	4
43	26	51	189	701	21	45	26	263	149	37	14	32	8	51	6	18	57	54	419	4	32	8	12	15	30	6	9	13	3
714	1	267	2	0	998	274	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	2	0	0	0	62	6
53	26	84	158	353	94	34	31	287	66	106	81	39	67	94	28	30	133	33	353	2	9	2	8	1	0	9	6	2	11
17	18	118	215	156	37	17	47	53	112	416	14	134	47	174	22	9	232	8	131	4	27	1	13	13	20	12	2	12	14
25	41	99	36	267	108	44	126	235	257	123	47	69	54	29	28	35	114	26	193	6	39	2	9	17	24	4	7	3	18
160	48	10	84	482	15	50	119	47	126	125	31	90	71	207	43	75	87	50	28	5	18	2	7	20	28	8	7	2	8
59	63	81	132	150	96	38	30	146	73	49	78	89	48	103	179	94	76	229	97	5	39	6	8	16	16	9	4	5	12
79	32	16	105	203	96	32	46	243	115	54	68	41	29	267	23	31	114	76	172	7	13	28	7	3	4	13	10	21	1
75	0	4	162	819	46	98	32	235	286	0	0	0	0	0	0	0	0	0	0	3	57	7	10	16	21	4	9	12	28
46	33	112	24	97	115	119	16	243	63	167	35	109	24	95	71	29	34	218	123	2	1	1	2	14	0	8	1	1	3
55	31	58	6	138	51	44	5	212	116	64	104	60	32	75	45	3	99	69	423	4	20	5	33	23	10	4	3	3	8
120	2	221	87	123	107	40	17	58	147	65	26	47	14	66	15	19	76	31	349	7	50	2	26	10	11	17	5	6	10
40	38	34	6	180	78	20	16	118	96	79	105	44	10	226	12	8	42	359	87	2	13	10	28	13	13	7	0	2	2
34	31	49	74	65	63	42	9	150	65	84	64	72	47	109	111	48	54	227	97	4	36	7	17	26	12	8	2	4	6
66	0	43	5	0	36	446	8	2	0	2	124	1	0	78	183	242	1	307	0	1	4	2	21	0	3	12	1	3	4
15	33	29	15	83	13	10	6	113	126	322	52	29	12	132	12	12	115	122	128	8	1	6	27	19	8	15	5	7	5
33	11	29	18	164	154	54	15	98	69	99	50	11	14	239	16	9	69	135	92	0	1	7	12	20	4	4	0	0	5
31	11	24	17	58	147	44	58	31	129	25	89	55	41	110	25	15	54	95	48	17	27	11	9	60	24	22	8	34	29
20	23	40	56	40	56	28	51	112	93	113	117	30	41	84	24	16	60	105	105	11	3	9	10	15	2	25	4	19	1
35	11	52	16	46	59	60	19	36	47	125	69	110	49	173	83	22	57	90	63	0	22	2	13	13	6	13	4	9	4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	133	226	129	165	36	123	18	48	49
16	3	149	30	267	73	29	54	99	36	81	28	117	6	170	18	28	28	0	4	3	7	1	6	2	3	3	6	8	10
25	20	38	22	93	87	51	14	63	41	130	6	47	26	99	0	38	97	17	47	4	15	14	97	34	10	7	6	15	18
20	27	96	110	189	30	56	39	157	45	74	14	19	14	23	118	9	30	2	47	0	10	0	3	1	2	1	1	1	10
72	62	80	49	32	89	64	43	69	101	0	0	0	0	0	0	0	0	0	0	23	80	15	27	29	32	19	20	20	20
37	14	55	22	94	75	15	7	48	46	25	23	9	31	36	36	38	15	110	106	2	31	5	12	9	8	4	7	6	6
35	41	6	41	35	13	21	22	26	54	26	45	29	18	24	121	5	40	35	56	5	31	8	44	71	23	11	5	8	11
124	0	52	0	0	32	35	0	1	0	0	0	0	0	0	0	0	0	0	0	0	141	0	176	193	33	0	0	0	34
0	14	176	22	96	4	38	2	36	26	87	39	56	27	83	3	4	27	8	55	0	4	0	1	1	1	0	0	0	5
16	6	42	35	68	77	28	14	28	33	54	11	39	18	10	2	7	75	6	186	2	6	14	11	10	7	1	0	6	2
112	0	52	0	0	22	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	125	197	32	0	0	0	45
61	75	37	2	56	28	48	55	0	63	0	0	0	0	0	0	0	0	0	0	0	98	6	65	50	27	15	26	23	36
29	11	23	14	34	26	18	9	16	36	18	15	20	20	24	33	9	10	33	28	9	44	8	84	25	29	21	23	15	82
40	12	54	8	95	57	29	36	23	22	71	26	18	27	51	23	13	27	16	13	7	8	7	13	16	15	7	5	6	16
0	1	0	27	0	1	0	0	12	41	0	67	0	0	0	7	3	0	371	192	3	0	24	0	1	0	0	6	0	0
19	15	0	8	64	1	0	1	26	1	417	0	90	6	4	0	11	78	0	4	0	0	0	0	0	0	0	0	0	0
19	12	30	12	29	32	29	8	31	24	60	33	79	23	81	47	21	32	53	53	0	9	2	5	3	1	5	4	2	0
20	23	13	12	26	7	10	3	32	57	1	41	18	20	39	61	7	75	27	79	6	31	4	11	34	14	2	5	4	10
41	40	47	9	54	67	65	12	54	60	0	0	0	0	0	0	0	0	0	0	7	30	10	41	57	13	53	11	13	5
28	37	34	16	11	8	5	13	27	15	56	13	11	17	6	15	6	18	55	88	0	110	1	59	14	16	0	0	0	0
5	10	3	54	48	53	32	11	10	28	84	2	47	19	99	5	7	96	2	4	1	4	1	11	1	2	3	1	0	3
14	15	22	43	46	40	23	9	44	16	21	18	25	17	39	60	28	21	74	32	1	10	2	0	7	5	2	1	5	2
27	23	33	14	53	6	0	5	38	8	134	41	12	7	4	34	19	21	35	31	0	59	8	3	5	7	1	9	3	0
29	0	49	0	0	7	4	5	1	0	0	55	21	1	24	48	16	0	75	27	4	82	28	14	21	10	9	25	15	7
3	4	7	0	40	0	51	1	0	86	104	69	0	28	96	17	0	2	0	0	0	0	0	0	26	35	0	0	0	0
7	6	29	31	64	40	13	15	27	10	55	12	7	17	26	18	16	47	30	41	1	20	1	0	4	6	3	0	1	0
15	37	0	10	51	12	18	29	28	64	6	34	41	0	1	9	0	58	22	27	0	0	13	11	36	1	2	7	7	4
4	12	13	11	46	14	10	5	30	36	31	32	27	31	37	57	22	22	25	22	0	8	0	16	2	6	6	2	2	12
17	15	10	23	65	17	5	2	50	25	11	11	18	16	14	13	22	8	44	80	7	33	2	2	9	4	1	8	3	4
11	9	20	15	19	26	26	7	6	13	51	33	53	19	73	26	5	29	41	25	1	10	2	2	3	2	6	3	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	80	24	64	147	68	31	19	23	46
4	4	19	1	91	27	8	3	42	30	59	7	12	9	34	7	2	25	14	95	1	5	2	3	1	3	0	0	0	1
8	0	0	173	17	23	2	14	0	1	54	1	46	21	31	0	42	44	13	2	0	1	0	0	1	6	2	4	0	0
15	4	31	44	23	5	7	11	25	30	24	7	32	19	19	13	1	20	9	47	4	34	4	13	13	13	5	9	15	7
17	2	7	3	0	13	0	0	12	23	50	48	6	7	34	31	10	25	12	8	4	14	8	37	47	4	20	8	7	44
22	16	26	23	39	24	19	12	18	26	26	49	11	27	4	62	14	21	27	9	1	1	2	1	9	2	5	2	1	2
7	5	19	6	46	39	10	3	44	16	10	18	8	6	40	41	19	13	51	34	2	11	1	8	6	12	2	1	3	1
14	4	2	0	3	16	2	2	9	18	37	44	9	6	20	26	5	24	11	11	1	27	5	38	57	4	15	8	7	37
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	122	42	82	68	19	24	36	31	25
14	7	52	42	45	90	1	5	48	14	12	4	8	13	14	0	8	12	32	31	1	0	0	2	1	0	0	0	0	3
9	4	1	2	112	2	1	0	3	13	17	31	9	12	22	9	0	28	5	18	6	64	2	13	28	10	5	27	1	5
26	16	4	24	121	7	15	23	8	29	25	5	16	9	47	9	18	18	5	4	0	2	4	0	2	8	0	1	1	0
36	4	36	21	30	66	12	15	13	11	49	9	16	6	30	0	17	6	22	28	0	4	2	0	2	0	2	3	1	1
0	0	0	12	0	0	0	0	35	108	0	4	7	0	0	0	0	0	0	64	0	0	55	0	109	1	39	0	0	0
11	4	11	10	30	39	14	3	28	9	34	0	12	19	29	0	14	34	4	14	3	7	5	35	13	4	2	3	1	2
42	0	0	46	8	5	27	3	54	6	191	0	1	0	4	0	3	0	0	0	0	1	0	0	3	0	0	0	0	0
9	0	37	36	15	7	0	0	23	23	10	3	20	2	50	28	18	24	11	19	1	18	4	5	7	4	2	1	2	12
0	3	0	0	8	0	1	2	1	13	18	4	0	8	0	0	3	0	9	1	2	1	32	0	207	7	34	0	36	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	26	98	25	18	8	43	11	10	12
14	4	17	9	6	5	11	1	4	4	17	27	4	0	20	18	6	12	7	2	5	53	9	35	19	10	3	8	21	16
1	3	0	0	4	0	0	4	0	17	15	5	0	4	0	0	2	0	6	0	9	7	19	0	186	10	35	0	38	0
33	9	0	26	14	0	21	28	0	40	14	0	5	8	0	57	3	39	12	9	0	7	1	4	1	2	2	4	2	4
6	23	0	10	33	6	13	20	16	63	3	23	19	1	2	2	0	31	17	16	0	0	3	3	20	3	1	5	2	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	12	99	0	0	0	79
0	12	24	6	27	14	0	0	43	14	0	19	12	13	25	20	10	0	37	42	0	7	1	0	0	0	0	0	0	0
3	12	3	3	6	3	7	6	60	21	14	4	17	1	19	11	3	6	19	13	3	31	0	10	12	6	11	3	6	4
3	2	3	4	23	5	2	1	25	6	35	1	30	4	22	38	8	21	42	13	1	3	1	3	0	3	3	0	2	2
5	5	11	10	12	9	9	4	17	20	21	10	7	8	35	14	6	12	18	22	5	6	1	9	7	1	3	2	6	2
5	9	16	30	68	5	11	10	6	14	18	10	21	12	16	6	5	12	3	8	0	2	0	1	2	2	1	0	0	1
0	12	3	8	66	11	13	8	53	0	60	11	3	11	3	0	0	0	0	2	1	8	0	11	0	6	2	1	0	0
14	6	34	13	26	5	3	8	2	15	0	15	6	15	11	9	5	7	14	10	3	21	3	8	6	10	2	1	3	17
5	5	6	4	20	7	5	3	6	10	5	8	8	2	26	17	18	4	41	18	1	24	0	4	10	10	3	1	7	11
19	21	16	3	34	32	19	8	23	22	0	0	0	0	0	0	0	0	0	0	2	11	5	18	20	8	10	5	4	1
82	0	18	0	0	1	0	0	0	0	4	19	0	0	5	22	16	0	66	7	0	0	0	28	0	5	0	0	4	0
