baseline	final LAR_G
61	10
282	137
11	56
5	0
99	12
93	81
0	3
13	3
12	9
0	46
4	6
37	0
1073	155
89	3
23	1
22	5
55	24
1	15
2	2
6	1
1	2
0	20
30	4
11	7
33	28
0	2
7	0
4016	1424
3	30
819	305
4	0
1070	13
75	12
119	24
4	4
9	2
84	11
110	13
31	3
4	32
24	20
6	3
97	10
0	20
198	6
92	11
3	2
216	94
6	2
117	14
20	0
77	5
115	10
4	0
3	2
27	10
566	102
35	22
16	3
25	3
35921	32771
17	6
4	0
7	0
35	3
61	9
36	3
21	2
26	4
14	1
69	10
0	37
62	5
0	2
23	8
12	4
29	12
14	2
96	12
525	49
162	25
87	210
9	4
113	8
40	1
179	66
8	5
21	35
8	8
0	33
0	129
137	86
384	94
3	9
1338	102
16	1
334	85
6	0
228	164
42	9
264	5
9	0
11	7
160	67
5	0
0	2
0	5
8	0
0	22
4	0
128	18
388	62
25	2
108	5
4	3
220	154
129	66
19	12
3	1
0	14
15	4
194	44
0	5
73	520
10	8
8	0
0	2
4	2
25	1
24	5
2	1
0	4
16	8
3	1
12	20
69	5
4	1
56	3
164	20
0	5
126	46
23	7
9	18
9	0
80	9
25	6
12	58
11	1
5	1
4	2
22	24
2	2
0	11
4	6
13	16372
0	28
8	1
2	1
135	57
9	1
24	3
9	7
21	34
0	5
98	13
188	0
13	20
7	0
18	22
1386	60
13	4
82	14
272	51
33	10
5	0
11	2
15	16
114	87
15	19
6	4
48	22
1	0
0	1
5	1
4	3
88	17
164	26
574	864
4	4
5	11
21	2
38	6
0	2
2	0
0	51
