X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X215.0302.final	X215.0646.final	X215.0B2B.final	X215.0B59.final	X215.340E.final	X215.406C.final	X215.471D.final	X215.591C.final	X215.6E50.final	X215.7262.final
43867	43200	39532	45161	24102	29226	42437	47691	24381	31082	20297	42896	43163	45092	27380	43375	48757	32881	27204	16184	25340	41904	6848	37005	45958	51175	22056	24490	22459	50321
11	18	8	10	12	5	14	17	14	14	16	17	18	13	16	16	13	13	12	11	28220	13	45186	6	83	6	30559	28824	30785	11
2157	5647	5126	3	9436	10993	5912	1431	3429	7117	2828	2764	6	3888	1431	968	946	1299	3682	11089	0	4453	658	5859	2246	0	191	461	336	0
748	2037	711	1992	2337	2342	1086	1178	8851	5122	5827	2410	3318	674	5559	4056	1200	3249	8808	5697	219	1222	481	1578	888	410	366	322	240	423
1187	665	1938	859	2847	2555	1181	594	4055	2197	6142	1657	3093	1164	10733	1733	1576	8141	4753	4430	475	1349	674	1487	1243	757	684	346	474	551
1098	1159	1283	550	2654	1284	693	364	3372	1555	6979	1241	993	398	2733	1021	415	1444	3293	3697	61	666	89	395	437	157	292	60	161	300
1515	407	1328	1953	2566	1830	818	918	1270	347	2601	391	1667	1072	1743	1223	790	2724	543	2048	10	97	14	223	54	54	18	8	22	503
620	503	105	460	358	709	186	471	297	1252	1376	788	584	258	175	398	124	742	1	1984	170	470	401	5452	587	372	95	158	176	762
721	71	1436	1012	2992	714	256	117	2114	835	406	121	235	125	419	99	150	489	183	1975	29	277	22	87	54	58	124	40	53	49
37	265	795	687	134	479	381	432	514	1009	296	47	276	846	77	88	172	484	130	521	1	1088	11	456	166	607	19	258	93	313
814	67	570	28	710	1360	384	172	300	240	389	396	96	434	555	259	13	323	719	657	51	122	67	252	188	64	99	21	91	47
216	85	167	153	275	323	164	51	1564	342	2074	229	273	132	461	341	104	652	406	687	17	109	33	178	101	26	28	17	29	48
572	162	219	125	179	715	433	896	304	369	642	275	50	101	58	163	77	137	222	1053	146	152	2	121	115	135	75	38	96	10
2	9	83	14	465	7	3	25	494	6	15	45	23	17	73	79	67	8	38	16	122	943	166	355	861	785	150	285	154	1362
0	0	321	1	5	465	208	1	570	2	522	218	10	346	416	8	499	3	631	234	158	113	118	63	402	218	159	105	147	59
114	73	187	313	326	78	46	79	176	248	666	168	202	89	434	160	43	470	588	655	23	184	95	179	84	62	47	24	39	26
71	94	188	186	184	87	118	55	110	234	623	279	237	145	178	175	141	151	457	219	45	340	40	92	63	65	46	42	15	136
155	67	90	174	701	142	74	84	275	244	306	91	141	113	233	123	47	211	134	536	24	39	12	118	59	53	19	23	22	67
125	196	99	218	144	209	80	239	394	322	445	113	93	129	74	161	53	312	94	219	11	164	28	96	71	54	16	25	27	148
