baseline	final LAR_G
96	16
0	22
0	4
10	2
18	6
30	2
1668	69
168	57
34	6
29	40
5	2
26	19
4	5
35893	32765
68	11
5	1
24	5
0	28
1344	101
1463	228
24	1
1	2
572	863
8	18
17	22
182	16
3	2
7	0
1	0
10	2
33	28
0	4
129	67
381	94
38	6
170	24
5	4
48	1
4	2
160	72
115	6
45	77
2	2
66	5
15	1
111	12
90	210
3	10
6	60
25	115
35	4
3	0
570	103
4	6
4	3
26	1
19	12
4	1
4022	1421
999	370
70	74
16	28
108	20
4	4
9	0
57	2
722	78
276	85
126	17
105	8
91	4
101	10
104	4
0	34
9	1
163	22
80	10
4	1
214	95
15	2
26	1
91	79
135	86
6	3
218	153
3	2
0	46
354	256
118	12
12	9
226	40
2	2
3	1
13	3
125	45
4	0
0	5
16	3
9	6
187	0
6	4
4	1
85	10
120	24
0	151
13	5
506	172
22	1
28	4
5	1
46	20
7	0
13	16373
336	86
54	23
6	1
92	25
22	33
9	4
196	44
22	5
267	5
4	0
70	516
0	4
1	16
23	21
7	2
33	11
2	2
16	16
3	2
58	21
137	58
48	30
1075	14
