X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X215.0302.final	X215.0646.final	X215.0B2B.final	X215.0B59.final	X215.340E.final	X215.406C.final	X215.471D.final	X215.591C.final	X215.6E50.final	X215.7262.final
seq97	4	12	14	12	60	16	10	5	23	35	31	25	31	25	39	50	22	22	25	22	0	8	0	16	2	6	6	2	2	12
seq20	186	64	17	99	616	24	65	140	53	155	150	34	110	65	254	51	93	104	49	24	5	20	6	7	22	36	8	8	3	8
seq130	5	3	22	0	5	9	6	18	6	3	0	0	0	0	0	0	0	0	0	0	0	24	1	5	13	7	4	1	5	3
seq58	65	83	107	192	186	139	70	37	183	91	66	97	120	63	140	228	133	97	289	142	9	52	16	7	24	20	15	5	9	13
seq9	0	0	311	1	1	459	204	1	563	0	523	206	1	340	407	0	495	3	627	214	153	106	115	65	400	221	159	104	150	61
seq8	6	2	542	5	10	742	297	4	938	6	789	355	5	505	652	19	698	10	1072	415	250	175	173	105	699	382	308	145	235	86
seq53	134	79	127	148	208	196	128	34	416	184	289	178	188	142	340	325	139	178	706	371	18	149	24	43	69	34	17	17	13	15
seq70	77	31	33	103	206	100	32	45	235	116	51	67	50	27	261	18	31	110	81	171	9	56	35	66	13	23	15	11	19	5
seq11	101	287	152	587	472	228	100	216	1744	536	468	660	188	147	397	120	141	484	977	2110	145	140	61	196	586	103	211	82	139	61
seq119	2	0	0	1	5	1	1	0	10	9	3	3	0	1	2	16	0	2	2	6	0	1	1	1	1	0	0	0	0	1
seq6	346	515	148	1009	360	1421	792	466	3495	3815	4255	326	2889	133	2899	3059	555	1720	3605	1547	74	71	79	148	8	41	128	11	51	79
seq78	33	65	14	31	98	82	67	58	43	129	7	59	60	2	4	11	0	86	41	37	6	9	15	44	64	6	16	10	20	12
seq7	1012	1082	566	128	1734	880	554	256	2567	1365	6491	1110	618	251	2264	899	218	1189	2991	3094	43	582	87	329	412	154	268	30	135	242
seq84	41	31	45	5	186	88	19	20	123	94	75	109	40	10	230	10	9	41	333	90	3	18	10	18	9	17	9	4	9	3
seq80	46	36	106	24	111	126	112	13	232	67	185	39	112	20	97	64	32	30	240	127	2	1	1	2	16	1	7	2	1	2
