baseline	t.2 - 8 Weeks LAR
11	0
15	17
8	0
273	14
9	0
162	49
22	29
4	57
13	7
13	3
92	5
6	6
0	5
36	4
90	18
21	1
22	40
4	0
115	14
2	2
164	22
112	7
0	106
0	231
0	128
226	88
215	43
54	2
386	162
0	8
14	0
40	1
0	32
278	244
8	10
387	62
194	21
0	5
75	4
92	49
31	2
0	5
0	51
69	3
11	8
0	51
5	0
28	5
166	40
11	264
0	23
60	66
23	18
160	51
11	3
33	11
2	1
0	3
95	4
19	10
0	25
3	8
0	7
38	0
8	14
0	5
114	4
4	5
22	2
24	0
78	5
266	6
81	15
3	32
0	3
6	11
11	0
11	0
121	18
0	48
19	11
185	0
35	30
18	45
88	27
4	34
4	0
15	2
5	0
5	4
23	6
0	4
1	34
47	7
31	12
1070	463
1	2
15	2
5	0
178	39
4	5
9	25
7	3
6	5
24	19
107	9
130	68
39	6
12	12
62	23
12	20695
33	24
7	0
87	14
138	21
1345	58
113	43
337	32
0	45
129	78
15	10
24	1
5	45
2	9
1390	411
13	4
7	0
5	0
21	9
5	0
1071	22
4	3
0	86
4	0
41	13
82	26
0	50
818	190
10	13
18	3
3	30
3	2
22	9
5	3
4	0
0	24
13	16
99	16
37	27
24	2
0	153
9	0
4	30
15	3
113	261
136	53
0	27
2	0
8	2
68	17
4	3
1	0
26	7
6	1
99	27
0	8
24	29
5	0
35910	28625
4025	506
16	1
196	32
2	2
22	2
9	5
220	88
129	8
567	65
55	15
10	2
23	7
577	340
8	0
14	4
3	5
10	1
524	62
71	15
4	5
60	14
25	0
9	0
95	30
12	259
79	7
0	3
28	13
2	0
