X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X216.0023.t.2	X216.167D.t.2	X216.2D17.t.2	X216.4D34.t.2	X216.5D52.t.2	X216.671C.t.2	X216.6807.t.2	X216.737F.t.2	X216.7C29.t.2	X216.7D1C.t.2
43920	43201	39622	45171	24086	29248	42486	47726	24429	31073	20341	42952	43035	45027	27498	43414	48731	32985	27203	16050	26798	20001	35395	21953	20525	34209	45949	19780	35706	25934
12	15	9	10	10	5	8	14	10	14	15	12	14	17	14	18	11	15	13	10	25471	21668	17646	30613	28892	15607	42	30820	14353	21839
2154	5645	5140	3	9434	11023	5960	1441	3537	7111	2860	2725	5	3949	1418	963	970	1313	3712	11129	3	441	191	0	212	1190	911	880	860	373
271	502	112	984	326	1406	326	460	3505	3820	3478	193	2444	131	2128	1597	212	1688	2722	1500	698	209	40	494	1157	188	289	212	355	464
1492	410	1138	1937	2427	1831	783	935	1222	338	2508	319	1629	1050	1652	1228	805	2663	536	1991	41	18	11	89	140	43	141	65	5	23
771	776	409	81	1267	664	382	178	1882	999	4766	789	454	175	1675	680	134	857	2222	2230	7	3030	141	1	77	226	785	228	1	137
8	20	476	14	101	66	32	5	63	24	3910	11	1840	193	7822	9	166	6174	19	471	8	28	5	4	53	2	4	47	31	33
266	366	321	192	423	505	151	94	3071	189	895	1160	217	298	1838	729	409	18	3476	1752	370	152	195	422	58	118	91	230	257	6
658	526	107	474	371	721	195	463	312	1258	1414	775	573	258	174	366	108	742	0	2050	78	2421	114	23	118	45	163	192	105	139
617	83	118	218	1440	219	93	72	1223	1021	500	523	458	66	998	138	75	1027	876	1575	123	24	15	66	31	40	87	65	55	146
507	62	974	782	2410	469	180	68	1700	565	256	79	151	77	269	67	105	333	119	1301	9	277	7	69	23	26	56	12	133	13
237	308	178	45	469	216	143	72	672	335	1705	297	168	66	582	218	64	340	776	824	4	997	39	0	37	88	331	71	0	53
199	338	155	256	292	799	464	318	898	453	27	336	39	47	131	11	272	221	1526	956	1	128	111	0	0	35	226	96	1	17
41	176	33	386	347	38	45	31	1362	136	53	276	95	22	33	0	48	278	529	1635	307	429	56	75	373	244	138	40	338	438
582	174	216	117	175	719	447	853	311	353	665	289	65	99	59	151	74	138	247	1008	24	11	16	10	3	37	101	71	30	19
0	240	729	683	108	460	37	413	459	746	30	44	238	317	50	0	180	109	111	514	0	10	47	0	1	23	2	5	35	21
1	0	367	2	1	494	188	1	608	0	471	231	0	339	416	0	465	1	680	259	0	119	31	0	0	510	217	1	0	0
125	31	25	96	48	90	9	9	1343	213	1737	110	24	14	42	214	19	428	228	510	1	5	7	5	16	1	10	4	8	8
0	0	326	1	1	463	209	1	579	0	521	202	2	338	428	0	479	3	617	230	0	135	43	0	0	495	210	0	0	0
714	1	267	2	0	997	274	4	1	0	0	0	0	0	0	0	0	0	0	0	0	651	173	1	311	99	663	142	1	571
0	84	174	46	245	168	29	57	169	290	368	84	519	97	241	923	34	177	194	399	38	4	21	51	17	14	19	52	210	2
0	0	0	0	0	0	0	0	0	0	798	0	420	1	702	1269	130	0	555	44	0	171	33	0	0	117	0	0	0	0
161	72	94	159	682	143	64	82	270	228	296	86	152	102	230	126	48	210	130	550	15	25	9	10	10	21	45	38	17	24
47	91	56	28	97	131	34	18	666	46	179	273	45	75	390	147	89	10	766	381	77	30	48	83	15	34	19	41	47	0
0	129	0	55	70	0	0	0	0	208	41	308	77	7	445	109	0	215	1545	26	3	44	0	0	32	0	0	131	216	65
40	97	91	131	92	141	61	136	274	297	305	298	91	97	269	80	56	137	319	313	5	78	5	6	31	21	45	18	89	103
5	0	221	4	516	297	23	150	0	1	9	238	12	393	348	208	1	118	544	115	19	49	8	0	8	28	66	28	277	27
0	734	0	189	944	0	0	338	0	484	0	0	0	0	1	0	0	1012	0	0	0	0	0	0	0	0	0	0	0	0
20	32	363	181	483	148	8	23	396	101	170	68	102	101	169	54	98	147	78	532	33	1	17	12	34	10	16	19	53	27
68	46	217	146	237	163	87	72	110	84	121	76	70	99	346	155	119	183	108	72	91	77	17	123	59	36	37	34	170	140
27	42	58	18	64	57	31	23	32	206	921	27	110	12	85	50	12	167	143	524	0	0	0	0	212	61	220	119	28	44
61	105	92	180	144	122	67	115	309	229	174	48	148	51	114	87	18	127	59	470	62	58	12	56	23	36	136	73	26	45
83	45	38	51	139	33	23	32	94	92	244	172	38	29	216	118	33	238	577	456	10	9	6	0	1	25	28	34	44	54
112	0	53	0	0	23	39	0	0	0	0	0	0	0	0	0	0	0	0	0	22	635	255	8	135	140	967	331	57	94
124	0	54	0	0	28	37	0	1	0	0	0	0	0	0	0	0	0	0	0	22	639	211	3	133	132	948	308	69	129
1	0	158	0	0	236	104	0	297	1	281	109	1	160	194	0	205	0	376	144	1	68	28	0	0	232	102	0	0	0
73	37	63	51	101	114	84	20	228	95	188	105	115	81	216	204	54	118	439	200	4	6	11	7	10	8	10	7	9	5
42	165	36	175	77	193	67	240	295	268	298	24	52	127	10	54	15	186	10	88	9	63	3	7	12	6	52	24	7	2
114	7	237	147	487	130	44	16	308	123	61	21	45	24	70	13	22	72	30	323	1	71	1	16	1	7	9	5	22	4
58	29	43	24	275	263	94	19	159	91	172	84	24	34	356	22	25	111	249	158	0	8	5	1	2	13	5	4	3	2
62	64	171	100	69	94	55	47	64	83	95	138	121	99	72	165	116	68	111	47	62	35	39	31	61	25	39	47	74	78
43	26	52	187	694	21	45	26	263	150	39	15	33	16	54	7	26	56	65	422	2	3	4	6	6	6	12	9	18	7
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	169	1115	0	0	0	176	537
17	18	118	215	156	37	17	47	61	123	403	10	139	47	176	20	9	229	14	133	23	45	6	43	48	13	28	26	14	23
53	26	84	158	364	93	34	31	286	63	105	70	37	66	93	25	35	121	32	355	10	7	0	2	4	5	14	26	14	9
59	63	81	132	150	96	38	30	147	71	45	68	94	46	103	173	111	80	217	93	35	13	10	64	23	12	11	14	26	95
25	39	91	38	255	116	44	126	225	249	127	40	75	66	32	30	29	128	27	219	14	24	2	5	3	14	19	25	33	16
0	0	68	3	0	1	295	0	76	221	235	0	3	508	0	28	0	324	1	0	0	18	0	0	0	46	50	100	54	3
46	33	112	24	96	115	119	16	262	67	177	45	94	18	98	76	39	30	217	123	23	17	2	42	38	9	12	6	7	21
160	48	10	84	482	15	50	119	43	128	118	27	92	58	207	40	70	86	43	27	3	4	1	3	8	7	4	3	0	8
55	31	58	6	138	51	44	5	205	110	66	90	59	28	74	41	1	92	72	419	18	46	13	26	45	25	30	28	14	13
79	32	16	105	203	96	32	46	234	110	54	66	43	25	274	20	35	113	83	175	6	4	1	13	3	2	1	3	7	13
75	0	4	163	808	46	97	34	235	273	0	0	0	0	0	0	0	0	0	0	7	18	2	12	20	14	14	22	24	7
35	13	46	16	42	60	59	16	31	52	119	67	115	50	171	76	19	63	89	55	94	89	4	60	167	15	20	12	74	128
120	2	224	87	115	106	40	17	65	137	56	22	44	15	65	14	24	79	27	356	1	67	1	23	7	3	13	3	27	6
40	38	34	6	180	78	20	16	120	87	76	113	46	7	220	13	12	46	340	89	1	13	2	6	3	7	14	4	5	12
66	0	43	5	0	36	446	8	2	0	2	127	2	0	80	179	254	1	302	0	3	6	9	5	4	3	2	8	5	8
5	8	68	16	463	7	3	28	447	7	15	44	17	15	74	88	65	9	33	16	10	29	8	7	9	2	36	11	36	3
34	31	49	74	65	63	42	9	143	61	82	65	71	49	113	100	51	52	243	97	3	0	4	5	5	5	2	3	5	10
15	33	29	15	83	13	10	6	107	121	314	55	32	12	139	14	10	117	111	131	0	71	17	0	0	9	34	10	4	22
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	152	204	369	573	0	0	0
16	3	149	30	267	73	29	54	99	41	82	26	105	12	176	16	35	30	0	4	3	4	3	12	21	2	18	9	144	10
33	11	29	18	165	154	54	15	106	63	95	49	11	11	251	10	12	70	132	93	0	3	3	2	1	11	4	3	0	4
20	20	36	57	39	58	23	52	115	97	110	117	25	38	83	22	20	57	102	106	1	32	2	1	7	5	12	12	25	39
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	3	13	2	5	8	18	1224
31	11	24	17	58	142	44	58	43	126	20	88	58	43	113	23	18	56	91	44	8	6	10	0	2	11	47	31	11	27
20	27	96	109	188	31	56	39	147	40	62	12	20	15	21	112	9	36	1	46	1	4	1	1	3	1	3	6	3	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	270	76	0	0	70	182	86	39	320
25	18	35	22	92	86	40	15	63	44	130	7	47	22	99	0	33	101	17	43	8	5	5	9	3	16	10	9	0	6
35	41	6	41	35	13	21	22	25	52	32	38	33	23	25	141	13	39	40	56	26	105	8	11	12	16	20	20	11	43
19	12	34	14	31	34	29	9	31	22	62	27	71	23	76	51	15	34	51	58	45	28	4	31	69	9	10	4	30	68
37	14	55	22	94	75	15	7	46	49	21	20	10	31	35	38	28	18	98	105	25	2	2	28	15	3	2	9	23	22
72	62	80	49	32	91	64	43	69	104	0	0	0	0	0	0	0	0	0	0	5	11	18	10	12	18	34	29	74	31
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	189	19	29	133	84	144	48	82	95
41	40	47	9	54	67	65	12	51	63	0	0	0	0	0	0	0	0	0	0	0	238	12	0	0	41	56	41	0	8
16	6	42	35	67	82	28	14	29	34	52	15	47	25	9	4	5	77	6	178	5	6	3	12	6	6	8	0	8	3
0	14	176	22	95	5	38	2	33	27	86	47	53	32	82	4	5	22	6	56	0	4	0	0	0	1	0	0	0	3
29	0	49	0	0	5	4	5	0	0	0	55	21	1	26	46	19	0	76	23	33	24	18	57	71	30	11	18	29	157
11	9	22	15	16	27	26	7	8	16	51	33	48	16	69	23	2	25	32	26	40	33	0	36	58	5	9	2	34	69
40	12	54	8	95	57	29	36	32	20	64	16	21	23	49	23	15	29	18	13	5	8	12	2	8	13	17	13	25	5
0	1	0	27	0	1	0	0	11	41	0	75	0	0	0	8	4	0	363	185	0	0	0	0	0	23	0	0	21	0
19	15	0	8	64	1	0	1	26	1	415	0	90	10	5	0	14	81	0	5	0	0	0	0	1	0	0	0	0	0
14	15	22	43	46	40	23	9	45	16	17	29	26	13	38	62	38	20	74	33	6	7	3	20	13	4	5	6	6	47
29	11	23	14	33	26	18	9	14	36	20	24	20	19	27	34	8	9	39	29	41	10	8	25	17	22	30	92	18	28
27	23	33	13	53	7	0	5	37	6	137	37	17	12	5	27	24	20	39	29	0	10	0	0	5	3	40	15	23	33
28	37	36	17	16	7	4	12	29	16	42	11	7	15	3	13	10	15	61	91	22	3	7	9	22	0	23	2	29	76
5	10	3	55	48	54	32	11	8	29	84	2	45	19	98	6	12	98	3	7	1	1	0	0	7	2	7	7	0	0
15	37	0	10	51	12	18	29	24	71	5	35	44	1	1	9	0	56	23	27	0	78	35	0	0	65	1	6	0	0
5	0	0	1	7	0	2	0	9	9	6	3	1	1	3	17	2	2	3	6	2	70	0	241	67	1	9	31	92	57
20	23	13	12	26	7	10	3	30	52	1	32	18	15	40	64	5	80	27	85	0	9	3	0	0	21	4	14	0	0
7	6	27	30	66	40	9	11	30	9	61	14	9	18	28	21	13	45	36	31	1	12	1	10	3	11	11	4	4	10
3	1	2	2	7	2	4	0	10	6	9	2	7	7	10	6	4	8	7	3	2	225	5	0	2	29	49	55	56	23
7	5	18	6	49	40	6	3	45	16	12	18	9	7	41	39	23	16	57	32	11	3	1	14	12	1	3	4	14	26
4	12	13	11	46	14	10	5	23	37	31	24	31	25	39	50	22	25	25	21	7	1	0	19	6	3	10	3	9	5
17	15	10	23	65	17	5	2	47	26	11	8	14	12	13	13	20	12	49	81	7	3	1	14	2	6	4	9	7	15
61	75	37	2	57	26	48	55	0	66	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0	3	4	70	0	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	23	18	12	97	16	30	25	37	221
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	42	219	0	0	0	47	134
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	50	57	11	16	38	108	106	32	51
4	4	19	0	90	26	8	3	39	26	61	10	10	9	35	7	3	25	18	84	0	2	1	2	0	0	6	3	4	3
