X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X216.0023.t.2	X216.167D.t.2	X216.2D17.t.2	X216.4D34.t.2	X216.5D52.t.2	X216.671C.t.2	X216.6807.t.2	X216.737F.t.2	X216.7C29.t.2	X216.7D1C.t.2
seq20	190	76	27	119	650	36	75	145	85	192	181	68	134	109	291	99	104	130	79	46	12	7	1	27	18	10	19	5	10	13
seq58	67	85	108	178	205	133	71	37	190	89	67	98	118	66	150	230	128	97	289	135	32	22	20	77	33	16	24	15	32	143
seq9	0	0	321	1	5	471	207	1	568	2	523	218	10	345	415	8	507	3	622	218	0	129	48	0	0	471	204	1	0	0
seq8	1187	665	1938	848	2850	2566	1181	596	4061	2168	6154	1653	3096	1162	10701	1731	1553	8100	4763	4412	483	543	327	441	304	1046	875	534	694	578
seq70	65	31	33	104	195	101	38	46	268	106	58	72	40	21	268	20	33	114	80	176	11	111	52	18	10	38	121	47	10	96
seq78	36	60	12	35	88	87	76	62	35	133	9	52	61	2	4	11	0	84	35	38	11	129	63	18	37	91	30	33	9	19
seq7	1098	1159	1283	540	2653	1277	694	365	3364	1575	6982	1238	993	398	2721	1024	425	1419	3314	3795	87	4117	194	97	261	331	1134	334	272	302
seq84	34	34	35	6	198	88	18	17	122	85	72	102	37	9	218	10	10	44	360	94	4	12	4	5	4	7	14	6	2	9
seq42	123	73	78	17	101	119	89	24	107	120	102	119	20	16	68	81	31	50	137	45	2	503	42	1	2	82	113	93	4	54
seq56	81	40	70	45	425	429	128	38	274	165	281	123	38	54	596	39	41	178	394	281	0	12	6	0	3	23	8	6	3	7
seq178	16	1	5	16	32	11	8	3	11	11	11	5	6	4	8	8	4	11	4	23	1	0	2	1	1	1	0	2	3	0
seq35	71	94	188	178	183	87	118	55	110	230	642	279	238	144	182	176	134	153	474	221	68	31	42	28	67	43	43	40	89	90
seq155	2	1	38	0	5	2	7	3	11	4	27	21	10	4	2	8	2	15	0	4	0	0	0	0	0	0	0	0	0	0
seq21	814	67	570	32	712	1359	385	171	300	234	387	397	96	433	547	262	9	343	696	609	60	860	201	95	381	168	831	211	395	673
seq36	49	135	0	107	84	6	46	3	99	213	298	315	91	12	450	110	19	209	1547	36	21	54	5	28	83	0	14	145	222	161
seq47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	270	72	0	0	74	163	83	49	326
seq109	1	3	0	5	2	3	2	4	11	20	0	0	0	0	0	0	0	0	0	0	73	27	1	45	78	12	17	36	8	33
seq76	99	84	100	78	66	114	102	46	95	133	21	31	3	29	6	61	15	20	39	17	27	124	33	29	48	49	98	64	121	143
seq29	70	102	86	183	147	124	66	111	303	232	178	55	146	63	106	91	22	130	61	465	70	61	12	53	26	31	139	65	25	44
seq77	32	9	29	13	29	24	19	7	14	41	19	19	18	19	25	40	7	7	39	38	27	24	8	24	33	24	42	111	23	29
seq142	15	8	17	6	6	3	5	9	6	4	27	5	0	9	4	1	3	4	20	52	0	6	4	2	5	5	11	4	0	0
seq46	39	62	18	49	37	23	32	22	76	66	44	51	47	26	41	139	9	43	57	77	30	115	10	13	18	25	54	34	24	63
seq17	24	39	44	18	66	57	33	25	39	210	921	37	105	9	82	52	12	169	151	502	0	4	0	0	196	63	195	134	33	51
seq147	6	9	4	56	47	44	26	10	11	27	83	2	51	17	93	7	9	108	3	7	0	0	0	1	8	3	8	6	0	0
seq45	114	73	187	309	324	79	45	79	176	246	683	168	204	89	434	161	47	480	583	654	41	70	25	58	54	43	48	63	61	86
seq24	572	162	219	127	180	715	436	893	304	360	643	275	50	101	60	163	83	137	225	1048	26	9	20	9	2	35	90	78	22	23
seq176	9	0	0	1	0	2	2	0	3	1	1	1	1	3	3	7	3	2	1	0	0	8	0	0	1	2	6	3	0	5
seq3	2157	5647	5126	1	9426	10978	5917	1431	3434	7096	2837	2755	6	3883	1426	969	943	1284	3657	10998	2	466	217	0	230	1235	954	855	860	390
seq39	155	67	90	168	698	149	74	83	274	236	296	91	140	113	233	122	54	210	118	530	13	26	10	18	12	25	48	39	28	25
seq52	125	196	99	211	144	208	80	239	385	316	444	113	95	129	68	162	54	296	81	200	33	151	16	38	55	44	94	89	40	63
