t.2 - 8 Weeks LAR	baseline
262	114
77	126
29	3
54	136
14	71
6	118
44	127
18	223
22	33
27	85
3	4
0	8
5	4
0	4
49	24
2	3
3	16
0	10
11	12
299	507
0	9
4	105
20	1072
20	134
2	57
51	93
2	3
28	100
4	4
28775	35905
5	0
106	0
36	47
18	55
661	1463
1	6
7	25
51	157
4	15
54	280
63	7
32	35
0	186
451	1661
127	0
15	67
0	10
20	89
4	0
26	9
0	25
3	18
7	82
521	24
1	5
52	93
50	0
6	9
2	16
9	2
1	23
68	46
3	5
5	6
57	1338
15	27
25	0
3	29
505	4033
2	2
57	3
0	5
0	15
8	110
5	3
2	7
49	0
0	4
5	27
32	1
20	117
20	170
10	6
46	47
0	1
67	569
86	218
4	5
28	23
3	12
6	268
342	568
32	342
70	131
84	70
5	4
24	0
99	28
6	37
2	2
0	4
16	94
18	57
5	4
11	33
22	68
1	10
6	183
89	720
10	13
1	48
60	382
20	24
9	105
3	5
144	353
233	995
46	16
149	171
5	34
17	109
2	24
25	90
8	0
23	197
4	11
2	15
20726	13
0	4
0	7
10	23
281	0
48	162
10	18
41	214
