X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X216.0023.t.2	X216.167D.t.2	X216.2D17.t.2	X216.4D34.t.2	X216.5D52.t.2	X216.671C.t.2	X216.6807.t.2	X216.737F.t.2	X216.7C29.t.2	X216.7D1C.t.2
43874	43210	39540	45204	23957	29202	42226	47616	24389	31156	20331	42956	43172	45145	27417	43478	48738	32997	27310	16188	26830	20074	35631	22121	20654	34560	46486	19851	35741	25806
13	16	6	9	14	6	10	13	10	14	17	14	23	15	17	13	11	14	14	13	25471	21654	17634	30626	28916	15648	41	30851	14428	21988
2159	5660	5105	3	9534	11047	6085	1504	3509	7090	2852	2750	6	3912	1437	931	968	1324	3702	11073	3	448	187	0	205	1187	912	888	840	377
346	515	156	1008	360	1417	780	465	3496	3842	4279	333	2787	123	2923	3026	594	1654	3581	1544	705	396	69	494	1163	317	287	203	395	483
1012	1082	585	126	1736	886	518	256	2567	1351	6491	1077	633	240	2262	889	219	1200	3014	3107	32	4122	185	17	152	331	1147	318	59	245
1493	400	1131	1934	2427	1787	833	914	1235	320	2486	326	1614	1033	1644	1223	820	2637	508	1991	41	26	5	87	146	45	127	66	2	29
335	451	379	209	524	669	186	116	3790	242	1093	1351	277	367	2224	847	500	30	4238	2080	444	186	248	509	71	175	104	282	302	7
13	19	463	13	100	56	25	5	56	23	3911	12	1798	203	7833	7	193	6199	18	500	5	29	5	7	47	0	5	34	37	33
739	69	1421	998	3041	679	252	113	2084	831	398	127	246	94	399	94	168	468	179	2006	11	393	13	109	28	33	83	18	182	19
650	526	94	493	336	707	182	470	298	1262	1404	763	557	230	169	363	112	734	1	2004	79	2412	119	23	118	43	173	218	94	137
101	287	159	589	472	223	122	213	1744	516	481	714	182	170	377	122	111	489	971	2094	315	546	73	79	418	259	206	76	446	574
610	89	122	216	1470	240	96	76	1231	1013	514	513	447	62	1015	152	58	1028	853	1569	136	25	23	72	41	34	87	67	58	128
6	2	552	5	10	739	319	4	938	5	777	359	7	457	650	22	693	9	1089	412	9	202	59	14	17	752	337	10	25	17
202	340	159	241	289	811	425	307	890	449	23	318	31	45	128	10	278	223	1524	940	1	122	114	0	0	28	226	102	1	10
582	168	231	118	170	729	476	890	326	354	645	301	65	100	57	156	72	143	203	1060	23	2	17	12	1	39	97	77	28	24
9	241	739	675	113	465	45	407	460	751	33	50	252	350	79	2	172	118	116	522	1	129	60	0	1	95	144	30	36	44
259	0	99	0	0	54	73	0	0	0	0	0	0	0	0	0	0	0	0	0	43	1284	462	7	263	282	1947	607	112	207
