t.2 - 8 Weeks LAR_G	baseline
7	33
17	8
15	6
0	1
5	5
17	82
3	16
0	5
16	19
731	4020
36	0
24	96
60	3
0	38
38	4
20	25
62	162
56	15
17	74
7	0
47	13
1	11
17	28
14	0
59	10
2	21
31	114
16	98
0	7
17	12
7	6
7	41
5	24
10	0
1	15
45	1074
228	13
7	80
0	5
42	69
0	8
4	1
2	4
3	2
19	4
2	5
0	4
6	24
0	8
72	4
34	3
188	0
5	5
1	0
6	1
26	128
6	3
71	11
2	15
50	35
6	0
8	267
44	9
5	2
30	90
14	15
405	220
25	0
194	88
3	24
455	819
6	0
36	216
21	87
2	22
8	197
10	92
12	69
81	137
2	2
11	0
0	9
27	71
118	271
1	9
7	17
6	11
20	4
810	1069
11	0
272	387
13	78
10	22
0	6
428	228
5	15
214	113
28	28
223	11
4	5
1	3
224	130
3	8
6	12
7	48
83	567
0	186
235	1388
1	2
33	63
8	31
12	96
2	2
80	166
4	0
1	3
1	11
26	0
0	2
3	30
14	25
150	385
8	108
0	4
10	113
34035	35911
30	24
41	0
135	158
3	2
27	99
3	7
5	56
46	1343
17	114
63	0
12360	13
6	4
33	1
4	1
1	5
10	23
105	22
82	0
24	0
8	0
63	128
20	33
2	2
46	18
156	22
8	0
18	23
5	14
5	0
50	136
16	55
11	12
5	39
39	194
5	11
6	3
0	7
5	5
3	16
13	6
3	24
662	278
452	578
3	0
45	335
0	5
2	0
1	5
3	3
36	121
1	10
22	0
0	36
1	9
74	523
8	25
10	113
33	22
2	22
9	9
1	19
26	15
27	35
3	4
6	8
6	0
1	40
3	1
34	83
0	7
133	0
98	178
2	62
24	163
0	4
46	58
47	91
1	0
