X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X215.0302.t.2	X215.0646.t.2	X215.0B2B.t.2	X215.0B59.t.2	X215.340E.t.2	X215.406C.t.2	X215.471D.t.2	X215.591C.t.2	X215.6E50.t.2	X215.7262.t.2
43873	43205	39601	45172	24085	29199	42477	47715	24429	31047	20395	42979	43023	45014	27496	43468	48708	32975	27220	16148	35017	44915	31803	51102	28061	37555	18960	23604	19393	49939
12	15	8	10	11	5	9	14	10	11	15	13	18	17	14	19	13	15	11	13	19085	12	21011	12	14	8	21350	27663	34438	9
2153	5644	5131	3	9428	11012	5960	1441	3534	7149	2851	2726	6	3948	1397	941	969	1322	3649	11126	0	3396	393	744	701	4	1082	658	325	3
271	502	110	981	326	1406	326	460	3499	3813	3479	193	2444	131	2130	1556	212	1689	2722	1504	59	113	145	58	18	465	722	86	77	606
771	776	411	81	1267	664	382	179	1881	1002	4766	788	453	175	1676	649	134	856	2246	2230	34	253	51	112	4578	1264	1554	39	62	157
1492	410	1139	1940	2427	1847	783	935	1225	336	2488	320	1633	1050	1649	1239	806	2630	537	1973	5	67	5	76	29	148	28	22	18	65
8	20	480	14	101	65	33	5	65	23	3935	11	1843	193	7855	7	165	6172	19	462	0	34	3	31	180	100	14	30	5	49
278	366	326	170	431	531	150	97	3059	202	876	1147	224	285	1833	729	417	19	3543	1696	3	686	32	346	1180	714	1039	241	38	270
658	526	104	472	370	741	195	463	310	1260	1399	775	572	259	174	357	106	760	1	2062	138	317	307	380	926	203	1715	117	152	262
41	176	30	386	347	38	45	31	1361	136	53	278	95	22	33	0	48	278	545	1624	99	102	135	74	3468	494	1624	301	86	236
618	83	112	218	1440	219	93	72	1222	1024	505	524	456	66	1007	144	76	1024	858	1579	44	91	94	37	171	167	108	35	22	57
507	62	971	784	2391	478	182	68	1691	583	248	77	150	76	274	67	104	320	111	1309	5	27	25	21	361	95	57	95	35	15
237	308	178	45	470	217	143	72	672	349	1708	298	168	66	579	230	64	339	773	827	14	94	19	45	1444	493	526	16	18	54
198	338	159	257	292	799	462	318	895	455	24	335	38	47	127	8	271	222	1507	954	3	67	30	50	651	318	268	14	20	78
1	0	367	2	1	493	188	1	609	0	471	232	0	339	416	0	465	1	710	261	255	35	122	58	927	1830	189	463	130	270
0	0	326	1	1	462	208	1	581	0	521	202	2	337	428	0	479	3	612	231	214	40	89	65	830	1677	173	585	121	256
582	174	220	117	175	718	447	854	310	339	644	289	64	100	59	151	70	137	229	1012	34	113	4	117	15	76	19	16	24	30
0	240	733	681	108	460	37	413	459	712	29	46	238	317	51	0	179	103	111	509	1	546	101	224	32	115	12	10	0	142
129	37	24	94	50	83	9	15	1358	193	1757	120	24	14	45	215	19	437	231	489	3	13	6	5	19	15	13	1	0	1
28	42	59	18	64	57	31	23	32	206	896	27	110	12	86	51	14	171	143	527	15	151	22	46	740	273	772	25	1	199
0	84	173	46	245	167	29	57	170	295	370	84	519	98	240	919	35	179	203	402	9	27	9	86	28	36	65	31	4	62
61	84	51	30	98	137	32	18	677	43	181	267	39	72	390	153	98	10	746	379	1	152	9	82	245	163	204	46	5	69
4	0	214	4	518	296	23	150	0	1	10	239	13	393	342	198	0	114	529	114	24	65	37	128	304	303	182	68	14	226
1	0	158	0	0	236	104	0	296	1	281	108	1	160	194	0	205	0	369	143	126	21	51	47	451	889	103	252	64	137
161	72	92	159	684	154	64	82	272	233	299	84	152	102	234	116	47	203	135	540	22	62	19	41	73	79	30	18	21	25
42	89	86	136	84	143	57	136	273	297	317	277	88	96	253	82	57	146	328	326	16	30	62	13	170	145	154	62	51	100
0	0	0	0	0	0	0	0	0	0	795	0	421	1	705	1287	130	0	549	46	0	0	65	14	0	0	0	0	0	0
0	129	0	55	70	0	0	0	0	202	41	307	76	7	451	117	0	212	1554	26	0	147	0	0	0	316	0	126	26	0
0	727	0	193	962	0	0	339	0	489	0	0	0	0	1	0	0	1016	0	0	0	0	0	0	0	0	0	0	0	0
0	0	64	3	0	1	295	0	76	206	250	0	2	507	0	23	0	328	1	0	0	903	0	53	83	322	513	47	9	7
82	45	47	51	140	32	22	32	95	85	241	171	38	29	228	114	34	227	566	461	20	61	24	85	303	125	53	35	13	88
20	32	362	180	482	147	7	23	394	104	172	68	101	101	155	59	97	146	73	532	15	59	10	13	21	74	15	15	3	16
60	105	94	179	144	120	66	115	307	229	181	48	148	51	112	89	20	131	57	470	6	29	26	36	75	49	132	42	46	55
68	46	218	147	237	163	87	72	110	81	115	76	70	99	345	153	119	183	103	70	24	77	36	66	60	111	72	76	21	85
73	37	63	50	101	114	84	20	228	98	188	105	115	81	216	186	54	118	418	202	1	45	10	35	44	78	12	13	4	17
42	165	39	175	77	185	66	240	298	257	296	23	53	126	11	52	16	192	12	88	7	43	7	3	86	58	123	6	7	24
58	29	44	24	276	264	93	19	159	96	172	84	23	34	355	20	24	112	241	157	3	6	4	2	222	10	36	2	0	21
137	0	54	0	0	26	34	0	1	0	0	0	0	0	0	0	0	0	0	0	0	181	0	118	1014	783	0	0	0	188
113	0	50	0	0	20	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	118	975	789	0	1	0	187
115	7	237	148	473	125	43	16	305	119	62	21	43	24	70	16	24	73	30	333	1	13	5	6	78	21	11	21	8	4
713	1	268	2	0	997	275	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	2	1	0	69	18
43	26	54	187	703	21	43	26	267	160	35	17	32	16	56	7	24	56	64	422	5	15	9	14	5	31	2	7	3	6
62	64	171	100	68	95	54	47	64	84	92	138	122	99	68	163	116	65	105	48	10	124	48	49	51	46	43	26	24	51
24	39	96	42	254	115	43	126	223	250	135	45	77	59	33	31	32	129	29	195	2	52	6	8	26	145	15	9	3	7
52	26	82	157	365	98	34	31	291	66	103	69	36	64	94	28	34	127	38	366	3	13	1	8	2	8	18	13	1	11
59	63	81	132	149	96	38	30	147	72	46	68	94	46	103	179	111	79	229	96	5	14	11	31	31	40	22	6	14	62
17	18	114	215	155	38	18	47	62	115	395	11	138	47	175	20	11	223	12	131	4	29	5	16	34	35	20	5	3	7
46	33	110	24	97	115	119	16	262	63	177	46	95	18	98	71	39	30	219	121	2	5	6	27	158	37	43	7	4	11
160	48	10	84	482	15	50	119	43	126	117	27	92	58	207	43	70	86	50	28	3	23	17	8	23	24	13	7	0	2
41	40	47	9	54	67	64	12	51	61	0	0	0	0	0	0	0	0	0	0	13	60	24	18	575	474	334	41	18	5
54	31	68	6	139	52	45	5	204	117	68	90	60	28	71	43	1	90	70	422	0	26	8	14	166	58	38	18	6	10
82	0	3	160	813	47	95	33	234	265	0	0	0	0	0	0	0	0	0	0	3	64	12	8	45	41	10	16	6	6
79	32	16	105	203	96	32	46	234	115	54	66	43	25	273	23	35	113	77	173	7	1	12	1	13	10	26	10	13	6
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	286	30	38	256	542	386	111	5	192
120	2	225	86	118	103	40	17	68	147	61	23	42	15	76	14	27	82	32	339	0	7	4	3	85	23	12	28	6	2
16	33	28	14	83	14	9	6	109	125	319	55	33	12	135	11	11	114	117	129	7	5	5	8	54	79	239	6	12	10
66	0	45	5	0	36	446	8	2	0	2	127	2	0	81	182	254	1	309	0	5	4	0	1	5	2	84	13	0	14
4	8	62	16	463	9	2	28	449	6	13	45	15	16	70	84	63	9	35	14	19	125	24	22	14	14	14	14	13	14
40	38	36	6	179	78	20	16	120	95	74	113	46	7	222	12	12	47	359	88	1	7	0	15	11	17	6	2	3	9
34	31	49	74	65	63	42	9	143	65	81	64	70	49	113	111	51	52	226	96	7	20	3	34	19	45	11	6	4	22
31	12	48	17	44	58	57	17	26	50	115	57	113	58	171	79	18	58	76	61	9	14	4	10	151	115	83	27	2	41
22	25	40	56	46	65	26	54	121	95	115	122	22	44	87	29	20	57	111	103	9	9	16	6	77	57	68	27	22	41
33	11	25	18	163	153	54	15	105	68	94	49	11	11	243	17	12	69	133	93	1	1	1	4	84	4	12	0	0	9
61	75	40	2	58	28	50	55	0	62	0	0	0	0	0	0	0	0	0	0	25	190	8	26	253	223	213	15	14	86
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	219	266	100	114	177	171	35	3	147
16	3	150	30	268	72	31	54	101	39	82	26	105	12	172	17	35	29	0	4	2	3	2	4	1	3	4	0	1	3
31	11	29	17	58	136	44	58	43	129	22	90	55	43	109	25	14	55	92	45	6	33	23	21	14	10	22	12	4	15
35	41	15	41	34	12	23	22	24	54	26	38	34	23	23	121	7	43	35	54	9	29	12	17	176	106	92	10	16	29
21	27	94	109	202	33	56	39	144	50	61	13	20	15	23	116	11	36	1	43	2	22	3	3	2	14	2	2	0	2
26	17	39	21	97	86	43	12	65	44	133	6	47	23	101	0	34	101	13	47	1	18	3	8	6	20	7	5	2	1
15	13	30	17	31	34	28	9	31	21	56	29	72	28	78	50	14	38	51	52	6	9	4	5	58	79	58	25	1	24
0	0	0	11	0	0	0	0	37	107	0	2	3	0	0	0	0	0	0	64	1	0	30	0	490	0	186	1	0	0
38	14	57	22	94	75	15	7	47	46	24	20	10	31	36	36	27	16	109	105	7	13	2	10	4	13	6	4	1	10
73	62	79	49	31	86	64	43	67	108	0	0	0	0	0	0	0	0	0	0	10	40	27	33	10	23	19	24	11	3
17	2	4	3	0	13	0	0	13	23	50	50	10	6	34	30	5	22	12	9	4	20	9	12	270	43	115	9	16	58
