baseline	t.2 - 8 Weeks LAR_G
8	3
48	71
9	5
34	27
137	47
724	114
384	407
256	112
94	38
3	61
25	3
186	126
14	13
2	2
56	22
0	189
3	3
5	1
10	0
223	405
1811	1202
46	51
197	38
74	27
4	4
75	339
23	3
3075	1247
4008	729
58	465
15	1
4	5
38	137
39	5
185	42
2	5
435	159
8	3
79	8
11	9
15	2
13	12383
197	57
35	11
27	14
128	30
22	40
57	5
107	8
4	3
30	3
8	3
17	99
570	447
31	12
57	91
112	35
424	222
1388	48
6	1
30	86
110	10
130	226
142	18
4	170
3	0
93	23
24	34
3360	1591
338	46
35895	33992
191	63
6	75
0	7
6	7
14	11
