X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X215.0302.t.2	X215.0646.t.2	X215.0B2B.t.2	X215.0B59.t.2	X215.340E.t.2	X215.406C.t.2	X215.471D.t.2	X215.591C.t.2	X215.6E50.t.2	X215.7262.t.2
seq20	190	76	27	111	649	36	75	147	86	190	181	68	134	111	290	99	115	127	73	52	5	27	27	15	41	29	20	8	1	8
seq58	67	85	108	193	206	134	71	37	190	89	68	97	118	66	150	228	133	97	289	134	9	19	16	43	36	62	23	4	13	80
seq9	0	0	321	1	5	465	208	1	570	2	522	218	10	346	416	8	499	3	631	234	214	38	97	67	831	1666	174	584	122	253
seq8	1187	665	1938	859	2847	2555	1181	594	4055	2197	6142	1657	3093	1164	10733	1733	1576	8141	4753	4430	531	587	487	634	2915	3807	1009	1116	387	997
seq70	65	31	33	109	195	101	38	46	266	104	57	72	40	21	266	20	34	107	86	188	13	22	7	41	106	59	44	9	14	64
seq78	36	60	12	31	88	87	75	62	37	125	9	52	61	2	4	11	0	83	38	38	6	6	23	41	257	49	40	31	31	23
seq7	1098	1159	1283	550	2654	1284	693	364	3372	1555	6979	1241	993	398	2733	1021	415	1444	3293	3697	78	418	94	227	6462	2015	2245	103	95	282
seq84	34	34	35	6	198	88	18	18	122	92	78	102	37	9	222	10	9	47	337	90	0	10	1	10	15	17	6	6	3	14
seq42	123	73	78	15	101	119	88	23	108	122	103	119	20	16	64	80	22	47	126	51	35	133	56	43	1393	717	758	84	68	105
seq56	81	40	70	45	427	431	129	37	272	160	284	123	38	54	599	39	31	165	410	260	6	4	5	1	312	20	38	1	0	32
seq178	16	1	5	18	32	11	8	3	11	11	12	5	6	4	7	8	3	10	4	20	0	1	0	1	0	1	1	0	0	1
seq35	71	94	188	186	184	87	118	55	110	234	623	279	237	145	178	175	141	151	457	219	15	134	48	59	81	100	45	28	10	49
seq155	2	1	38	0	5	2	7	3	10	4	26	21	10	4	1	8	4	10	1	2	0	1	0	0	4	3	5	1	0	12
seq21	814	67	570	28	710	1360	384	172	300	240	389	396	96	434	555	259	13	323	719	657	22	100	54	142	518	464	448	92	114	266
seq36	49	135	0	108	84	6	47	3	99	212	304	316	91	12	443	110	11	199	1564	34	0	163	2	0	3	301	0	127	31	1
seq47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	268	29	36	255	551	408	110	9	194
seq109	1	3	0	6	2	3	2	4	11	20	0	0	0	0	0	0	0	0	0	0	11	53	7	33	95	196	107	35	33	42
seq251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	9	0	0	0	29	12	8	0
seq76	99	84	100	76	66	114	102	46	96	129	22	31	3	29	4	61	11	15	43	17	19	133	43	70	198	216	80	57	24	67
seq29	70	102	86	175	146	124	65	111	306	223	186	55	145	63	110	91	23	140	61	449	8	26	21	36	70	47	134	34	41	56
seq77	32	9	29	12	29	24	19	6	14	41	22	19	18	19	24	40	7	8	38	37	35	77	11	32	25	103	70	17	16	19
seq142	15	8	17	6	7	3	5	9	6	4	29	5	0	9	4	1	3	4	21	57	7	9	2	3	21	8	25	5	1	6
seq46	39	62	18	45	37	22	32	22	77	73	48	51	47	26	39	138	11	47	59	75	10	38	17	24	211	180	130	24	20	52
seq17	24	39	44	17	66	58	33	26	38	222	918	36	105	9	88	54	12	162	135	518	22	152	23	41	762	285	749	22	2	198
seq147	6	9	4	54	47	42	26	10	11	26	88	2	51	17	92	7	13	98	2	5	0	5	0	6	4	3	8	3	1	1
seq45	114	73	187	313	326	78	46	79	176	248	666	168	202	89	434	160	43	470	588	655	26	105	39	133	373	175	91	43	22	110
seq24	572	162	219	125	179	715	433	896	304	369	642	275	50	101	58	163	77	137	222	1053	32	107	5	117	18	91	26	15	26	22
