baseline	t.2 - 8 Weeks LAR_G
2	4
267	8
279	203
1	34
0	4
23	451
95	21
72	25
119	35
2	3
4	5
110	34
33	6
573	452
6	0
25	2
3	2
10	9
338	44
35915	34052
17	46
4	0
5	4
4	23
3	0
723	107
3	6
4	0
22	11
111	9
23	4
1460	1138
28	118
6	0
4	4
135	46
3	2
25	3
567	81
1004	550
70	321
2	1
6	15
4	17
13	12358
86	35
1072	46
90	30
35	12
35	25
107	7
16	3
1661	261
127	62
0	8
9	1
352	651
170	154
39	5
0	4
13	8
184	42
65	3
135	77
92	38
57	43
1343	48
3	1
12	7
9	2
13	4
47	68
30	3
89	196
7	74
158	134
55	16
48	2
3	6
57	5
184	0
8	3
169	25
91	47
226	53
0	41
127	33
24	69
5	1
0	18
0	190
15	4
162	62
505	767
10	1
194	35
128	220
19	14
10	1
17	98
2	2
3	60
114	10
32	22
1	5
27	13
81	9
24	5
3	3
214	35
0	160
9	1
67	42
4	4
15	2
0	6
0	10
1	0
6	6
18	7
5	1
24	30
16	27
384	158
26	1
4011	728
219	401
8	48
24	33
97	17
5	4
46	52
105	9
118	13
2	2
7	3
4	0
46	55
