X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X215.0302.t.2	X215.0646.t.2	X215.0B2B.t.2	X215.0B59.t.2	X215.340E.t.2	X215.406C.t.2	X215.471D.t.2	X215.591C.t.2	X215.6E50.t.2	X215.7262.t.2
seq97	4	12	13	11	46	14	10	5	23	35	31	31	27	31	37	57	22	25	24	21	4	3	7	5	14	7	6	1	1	2
seq20	186	64	14	108	604	22	65	140	53	155	150	36	107	78	254	52	82	104	56	31	3	29	20	10	26	26	14	5	0	1
seq130	5	3	22	0	5	9	6	18	6	3	0	0	0	0	0	0	0	0	0	0	1	23	15	14	51	56	25	10	6	26
seq58	65	83	108	178	206	134	70	37	184	91	66	98	118	66	150	240	128	97	290	134	10	27	16	44	36	54	34	3	8	94
seq9	0	0	318	1	1	465	204	1	563	0	523	215	3	339	406	0	503	3	610	224	209	43	96	59	835	1670	166	571	124	236
seq8	6	2	552	4	7	735	297	4	938	6	789	359	7	458	647	22	690	9	1086	423	385	64	175	100	1385	2738	276	752	190	443
seq53	134	79	114	146	224	195	128	34	415	184	289	183	198	139	325	321	124	188	721	376	9	72	21	93	72	139	34	25	13	51
seq70	77	31	34	105	198	97	32	45	235	116	51	67	35	30	275	14	27	113	86	168	7	28	7	40	104	63	48	7	13	68
seq287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	28	0	7	0
seq11	101	287	159	580	472	229	100	216	1744	536	468	712	183	170	374	123	111	489	967	2077	125	142	218	94	3703	689	1777	385	172	362
seq119	2	0	0	1	4	1	1	0	10	9	3	2	1	2	3	14	0	1	2	5	0	3	1	1	12	10	3	0	0	0
seq6	346	515	156	998	321	1440	792	466	3496	3815	4254	332	2787	123	2938	3023	592	1668	3583	1569	68	114	213	74	21	471	854	97	64	636
seq78	33	65	15	30	90	85	67	58	43	129	7	57	60	2	4	12	0	83	42	42	5	8	27	49	244	47	47	36	35	19
seq7	1012	1083	583	124	1733	863	553	256	2567	1365	6493	1080	633	245	2260	883	218	1211	3010	3036	55	373	76	186	6298	1810	2190	86	83	228
seq84	41	31	42	7	172	90	19	20	123	94	72	104	47	8	238	13	12	40	354	91	0	11	1	12	15	21	5	6	3	13
seq80	46	36	112	25	115	121	112	13	232	67	187	43	96	19	99	68	31	30	222	121	0	2	6	23	172	36	38	7	0	14
seq133	11	1	6	0	0	1	1	1	0	7	7	7	1	2	5	6	3	5	7	4	3	0	4	4	91	10	41	5	4	5
seq42	95	68	77	14	89	122	86	19	99	127	92	112	19	20	62	74	29	47	117	34	44	126	46	42	1298	726	667	74	60	124
seq30	73	47	214	147	247	169	84	84	109	81	113	83	67	88	340	144	102	186	97	60	24	79	35	62	60	111	64	72	22	89
seq137	8	6	11	3	22	6	8	3	6	8	5	9	10	3	37	22	21	5	36	33	0	13	9	7	12	17	5	5	5	5
seq186	1	0	0	0	2	3	4	0	3	4	0	0	2	0	10	4	1	1	5	0	1	6	0	3	3	10	3	1	0	2
seq14	12	19	465	12	98	60	30	6	57	23	3966	13	1795	202	7812	7	193	6170	20	480	1	37	3	22	181	101	11	30	11	58
seq15	610	89	123	224	1446	232	97	77	1230	1015	507	510	447	65	1008	153	58	1025	855	1564	40	87	92	44	180	177	90	32	13	57
seq83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	23	29	26	97	120	24	28	11	35
seq22	202	340	159	238	282	803	472	302	891	460	23	317	31	44	131	9	277	219	1519	956	5	59	41	45	665	302	315	40	27	85
seq132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2	1	28	0
seq33	0	78	175	46	245	157	29	53	169	291	369	82	531	102	243	915	24	188	186	387	6	35	8	94	31	34	59	37	4	45
seq138	13	4	3	2	125	2	3	1	3	14	16	26	11	18	22	6	0	24	9	19	9	24	3	6	137	45	10	30	0	3
seq56	85	34	68	47	431	424	131	35	265	171	264	137	36	56	600	38	34	171	395	256	4	7	7	4	302	14	41	5	0	33
seq283	0	0	12	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
seq106	37	7	60	11	101	56	32	32	33	20	67	23	20	20	48	26	13	31	14	12	0	8	0	15	10	8	10	3	5	6
seq178	12	2	12	15	33	14	7	5	6	11	11	6	5	1	7	8	3	11	5	20	0	1	1	2	0	1	0	0	0	1
seq194	2	1	0	10	7	3	0	1	0	1	12	18	12	4	6	0	5	13	4	1	0	1	0	0	3	0	1	0	1	1
seq35	66	61	166	95	66	88	44	53	71	82	93	127	128	98	66	169	120	64	114	43	18	128	38	46	51	45	46	27	16	56
seq89	18	5	219	31	263	67	22	54	97	39	79	24	117	10	180	17	32	28	0	6	1	3	3	5	1	3	3	1	2	4
