	Time	Flight	Cage	Flight_Cage	Animal_ID	Treatment	Compare
Pre0302	t.0	t.0 - Pre Launch	215	Pre.215	302	LAR_G	t.0 - Pre Launch LAR_G
Pre0646	t.0	t.0 - Pre Launch	215	Pre.215	646	LAR_G	t.0 - Pre Launch LAR_G
Pre0B2B	t.0	t.0 - Pre Launch	215	Pre.215	0B2B	LAR_G	t.0 - Pre Launch LAR_G
Pre0B59	t.0	t.0 - Pre Launch	215	Pre.215	0B59	LAR_G	t.0 - Pre Launch LAR_G
Pre340E	t.0	t.0 - Pre Launch	215	Pre.215	340E	LAR_G	t.0 - Pre Launch LAR_G
Pre406C	t.0	t.0 - Pre Launch	215	Pre.215	406C	LAR_G	t.0 - Pre Launch LAR_G
Pre471D	t.0	t.0 - Pre Launch	215	Pre.215	471D	LAR_G	t.0 - Pre Launch LAR_G
Pre591C	t.0	t.0 - Pre Launch	215	Pre.215	591C	LAR_G	t.0 - Pre Launch LAR_G
Pre6E50	t.0	t.0 - Pre Launch	215	Pre.215	6.00E+50	LAR_G	t.0 - Pre Launch LAR_G
Pre7262	t.0	t.0 - Pre Launch	215	Pre.215	7262	LAR_G	t.0 - Pre Launch LAR_G
t10302	t.1	t.1 - 4 Weeks	215	T1.215	302	LAR_G	t.1 - 4 Weeks LAR_G
t10646	t.1	t.1 - 4 Weeks	215	T1.215	646	LAR_G	t.1 - 4 Weeks LAR_G
t10B2B	t.1	t.1 - 4 Weeks	215	T1.215	0B2B	LAR_G	t.1 - 4 Weeks LAR_G
t10B59	t.1	t.1 - 4 Weeks	215	T1.215	0B59	LAR_G	t.1 - 4 Weeks LAR_G
t1340E	t.1	t.1 - 4 Weeks	215	T1.215	340E	LAR_G	t.1 - 4 Weeks LAR_G
t1406C	t.1	t.1 - 4 Weeks	215	T1.215	406C	LAR_G	t.1 - 4 Weeks LAR_G
t1471D	t.1	t.1 - 4 Weeks	215	T1.215	471D	LAR_G	t.1 - 4 Weeks LAR_G
t1591C	t.1	t.1 - 4 Weeks	215	T1.215	591C	LAR_G	t.1 - 4 Weeks LAR_G
t16E50	t.1	t.1 - 4 Weeks	215	T1.215	6.00E+50	LAR_G	t.1 - 4 Weeks LAR_G
t17262	t.1	t.1 - 4 Weeks	215	T1.215	7262	LAR_G	t.1 - 4 Weeks LAR_G
