Pre6807	Pre7D1C	Pre406C	Pre2D17	Pre5D52	Pre737F	Pre167D	Pre671C	Pre6E50	Pre340E	Pre0B2B	Pre591C	Pre7C29	Pre7262	Pre0B59	Pre0646	Pre471D	Pre4D34	Pre0023	Pre0302
8561	24	9184	15831	2383	7092	1592	12500	66	2362	16366	5695	3063	10085	4451	7276	8331	15237	2412	15913
184	15269	44	262	12512	4083	10908	1547	16213	10367	32	11929	12078	6796	8858	10063	63	809	1007	202
689	406	4193	668	686	1900	1844	2873	1104	2698	473	166	826	670	3080	438	2225	1093	7718	1278
806	84	2129	85	1704	1698	3161	202	108	1567	587	130	622	65	83	20	815	459	143	138
167	97	960	186	186	409	407	637	221	548	114	33	163	122	734	102	6010	195	1789	360
5493	678	0	130	31	1376	0	0	0	0	0	0	0	0	0	0	0	3	195	0
92	812	52	95	363	941	0	21	172	82	267	0	457	56	521	31	172	62	605	5
58	527	0	0	36	0	0	0	0	0	0	0	134	0	0	0	0	0	4011	0
1365	1	0	4	1	216	0	0	0	0	11	0	0	1	0	0	0	0	12	0
9	4	479	16	2	22	0	0	67	52	35	28	14	162	105	18	148	81	0	22
0	0	450	0	0	0	0	4	28	0	7	5	0	0	110	19	99	36	0	4
0	0	0	0	0	0	0	0	0	0	0	0	543	0	0	0	0	0	0	0
2	18	39	185	14	9	14	24	0	54	16	2	25	6	0	7	12	5	9	22
209	9	0	32	2	136	8	1	0	0	0	0	0	0	0	0	0	0	0	0
2	15	68	58	20	8	13	28	0	29	21	0	18	10	2	6	29	0	0	8
0	18	32	84	12	7	10	12	0	56	10	0	15	0	0	10	12	0	0	11
0	0	142	0	0	0	0	0	0	0	0	0	0	0	33	0	59	0	0	0
0	0	0	126	4	0	0	0	0	0	9	0	0	0	0	0	0	10	0	9
0	0	35	47	2	0	0	34	0	12	4	4	0	0	0	0	0	0	12	0
0	4	8	49	3	0	10	12	0	19	9	0	9	0	0	0	1	0	0	8
27	2	1	0	1	0	0	1	0	0	4	0	3	0	0	3	12	0	72	0
54	5	2	11	0	21	0	1	0	3	0	0	3	0	0	0	4	0	15	0
88	1	0	0	2	5	2	0	0	0	0	0	2	0	0	0	0	0	0	0
0	4	5	50	6	0	0	7	0	12	0	0	0	0	0	0	0	0	0	0
0	0	0	0	2	0	0	8	13	3	0	8	4	27	12	6	0	0	0	0
0	0	14	17	6	0	3	10	0	17	1	0	0	0	2	0	5	0	0	0
40	2	0	0	1	7	0	0	0	0	10	0	1	0	0	0	0	0	0	0
29	0	0	0	0	25	0	0	0	0	3	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	42	0	0	3	0	0	0	0	0	0	3	0	0
52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	7	16	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0
0	0	25	0	0	0	17	3	0	0	0	0	0	0	0	0	0	0	0	0
0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	13	13	0	3	9	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	8	0	7	7	0	0	0	9	7	0	0	0	0	0	0	0	0	0
0	0	9	0	0	20	0	0	0	5	0	0	4	0	0	0	0	0	0	0
0	2	5	0	0	0	0	6	0	6	3	0	6	0	0	0	0	0	0	3
0	1	4	0	0	0	0	2	0	13	6	0	0	0	0	0	0	0	0	0
13	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	6	11	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	12	0	0	0	0	9	0	0	0	0	0
0	0	13	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0
0	9	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0	0	0	12	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0
0	0	2	0	0	0	2	2	0	7	0	0	0	0	0	0	0	0	0	0
0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5
0	0	0	0	0	0	0	1	0	9	1	0	0	0	0	0	0	0	0	2
0	0	1	1	0	1	0	4	0	5	0	0	0	0	0	0	0	0	0	0
0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4
0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
0	0	0	0	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	1	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
