t1167D	t12D17	t15D52	t10023	t1737F	t16807	t10B59	t1340E	t1671C	t10646	t10302	t16E50	t17262	t1406C	t1471D	t10B2B	t1591C	t17C29	t17D1C
SPN83	0	0	0	9	0	5	0	0	0	22	18	10	4	2	0	0	0	0	0
SPN96	0	0	1	9	5	25	0	0	0	2	65	0	8	0	0	0	0	0	0
SPN102	0	55	0	0	1	166	9	0	0	0	0	0	0	0	4	0	0	0	0
SPPN8	28	7	3	0	0	5	0	3	0	0	0	0	0	0	1	0	0	0	0
SPN173	2	4	25	78	2	49	1	3	0	4	1	1	0	0	0	10	0	10	35
SPN193	11	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0
SP103	11	15	4	3	9	6	4	0	3	0	0	11	0	7	0	0	0	13	0
SP110	16	0	4	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0
SPP4	145	19	23	1	7	11	0	18	5	0	1	0	0	0	0	1	0	11	14
SP122	32	15	12	7	4	2	11	12	3	5	0	15	5	0	7	0	2	12	6
SP14	0	0	0	0	0	0	15	15	0	17	0	32	11	30	10	7	10	0	0
SP147	68	123	879	72	7	53	775	0	0	68	13	78	4	11	104	0	0	1405	1197
SP157	0	23	0	0	1	191	20	0	0	0	0	0	0	0	0	0	0	0	0
SP165	0	351	0	0	31	2271	154	0	0	0	0	0	0	0	4	0	0	0	0
SP166	23	27	2	8	22	14	0	26	2	10	1	11	4	4	0	0	3	20	2
SPP13	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
SP176	9569	4962	10856	13260	13245	7282	10455	10175	13912	8776	14609	2591	14491	15503	10128	17356	14875	417	10769
SP192	0	0	0	0	0	0	0	5	1694	0	0	0	0	0	0	5	0	0	0
SP208	0	0	801	479	0	228	0	0	0	0	0	0	0	0	0	14	0	329	1190
SP215	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	436	0
SP219	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
SP227	0	229	0	0	2	372	53	9	1	0	0	0	0	0	12	0	0	0	0
SP239	72	0	392	18	1449	2258	243	359	432	47	34	770	74	36	255	28	175	638	140
SP241	0	6	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP251	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP26	24	7	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SP27	21	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SPP28	2337	11584	2688	2628	1140	209	2785	4186	277	7582	661	8654	1975	1693	36	15	2476	12626	227
SP43	17	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
SPP33	25	5	10	3	2	0	0	5	1	0	0	0	0	0	3	0	0	0	0
SP51	4357	347	1810	1174	1640	2841	2606	2610	1364	953	663	4512	1179	557	4500	453	253	1637	3487
SPP35	1047	58	417	215	380	594	497	562	272	220	1889	934	232	107	2922	95	53	402	867
SP53	0	8	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
SPP36	54	0	14	19	17	709	118	0	34	135	20	170	0	40	5	16	153	41	62
SPP37	0	0	6	0	0	116	57	0	0	34	5	51	0	0	0	0	0	0	0
SP59	0	0	11	16	0	584	181	0	0	121	17	139	12	10	0	0	0	0	0
SP63	0	8	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0
SP66	8	6	0	1	1	0	0	0	0	2	0	4	0	0	0	0	0	0	0
SP70	22	0	9	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
SP86	20	1	8	0	1	1	0	3	0	0	0	0	0	0	1	0	0	0	4
SP87	82	10	12	0	3	0	0	9	0	0	0	0	0	0	2	0	0	0	0
SP97	9	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
