t25D52	t27D1C	t2471D	t20B59	t27C29	t2591C	t20646	t20302	t2340E	t2671C	t26807	t2167D	t27262	t20B2B	t2406C	t22D17	t2737F	t24D34	t26E50	t20023
10274	12133	15876	14396	7209	17163	12957	15423	14087	14718	16229	10838	14472	17254	13335	15563	16786	14688	16968	11285
6566	4063	62	2380	9336	277	3757	322	3615	706	234	4152	2289	424	709	1201	145	313	104	6410
420	186	1110	1061	936	257	835	1817	80	1010	524	2085	870	199	1008	229	391	1968	690	211
422	1540	701	93	475	7	22	190	67	291	884	469	30	29	207	974	343	492	172	94
214	3	161	20	13	117	201	133	2	444	113	217	158	36	2556	8	303	172	28	0
72	0	0	0	0	110	120	55	76	56	10	129	134	28	47	0	0	239	22	0
12	2	26	0	3	0	18	16	13	500	0	0	5	0	102	0	32	30	0	0
0	8	46	37	0	59	66	0	15	27	0	42	37	19	16	0	0	85	9	0
9	38	10	7	12	1	7	25	16	10	0	30	5	0	14	17	0	10	0	0
7	0	2	3	0	1	17	19	13	0	5	23	0	11	0	4	0	0	4	0
0	0	0	0	0	8	0	0	0	94	0	0	0	0	5	0	0	0	0	0
0	0	0	0	0	0	0	0	3	103	0	0	0	0	0	0	0	0	0	0
0	0	6	0	0	0	0	0	1	41	0	0	0	0	0	0	0	0	0	0
0	5	0	0	5	0	0	0	12	0	0	7	0	0	0	0	0	0	0	0
0	9	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	3	3	0
1	7	0	0	0	0	0	0	0	0	1	5	0	0	0	4	0	0	0	0
3	6	0	3	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
