Domain	Phylum	Class	Order	Family	Genus	Species
SPPN1	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Gemella	multispecies_sppn1_2_nov_94.3%
SPN1	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonellaceae_[G-1]	bacterium_HMT_129_nov_82.23%
SPN2	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	invisus_HMT_118_nov_85.79%
SPN3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	inulinivorans_nov_86.16%
SPPN2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	multispecies_sppn2_2_nov_96.58%
SPN4	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	tortuosum_nov_84.72%
SPN5	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	kobensis_nov_92.86%
SPN6	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	proteoclasticus_nov_90.23%
SPN7	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	atypica_HMT_524_nov_97.73%
SPN8	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Zhizhongheella	caldifontis_nov_94.57%
SPN9	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Fretibacterium	sp._HMT_360_nov_97.7%
SPN10	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	sp._HMT_A46_nov_90.5%
SPN11	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	lactucae_nov_95.73%
SPN12	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	flaccumfaciens_nov_96.01%
SPPN3	Bacteria	Firmicutes	Clostridia	Clostridiales	multifamily	multigenus	multispecies_sppn3_2_nov_94.33%
SPN13	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Tessaracoccus	oleiagri_nov_97.09%
